"id","question_sl_no","question_text","use_in_score","question_type_id","questionnaire_id","weightage","metric_dimension_id"
"1300","6","What is the average number of service requests  per month, based on the last 6 months data?","NULL","8","143","33.0","773"
"1301","7","What is the average number of problems tickets  per month, based on the last 6 months data?","NULL","8","143","100.0","782"
"1302","15","What % of tickets are handled through standard operating procedures and / or run books?","NULL","9","143","33.0","783"
"1303","19","What is the average year on year ticket reduction through different intervention plans in last 3 years","NULL","9","143","50.0","784"
"1304","8","What is the average number of critical and high priority (P1 and P2) tickets per month, based on the last 6 months data?","NULL","8","143","100.0","785"
"1305","9","What is the average number of FTEs working on Application management based on the last 6 months data?","NULL","8","143","100.0","786"
"1306","20","What is the maturity level of your change management  and release management process ?","NULL","11","143","100.0","787"
"1307","27","What is your log monitoring maturity level?","NULL","11","143","100.0","788"
"1308","12","How do you describe the maturity of Knowledge Management (KM) processes at your organization?","NULL","11","143","100.0","789"
"1309","28","How are any disruptions that impact business service availability dealt with?","NULL","11","143","100.0","790"
"1310","29","What do you do to measure and enhance the customer experience?","NULL","11","143","100.0","791"
"1311","30","To derive the best business value from the IT, apps, what is the strategy you follow?","NULL","11","143","50.0","792"
"1312","21","How is the event data from various sources used to optimize the operations and resilience?","NULL","11","143","50.0","793"
"1313","23","How would you best describe automation methodology used within the enterprise?","NULL","11","143","100.0","794"
"1314","32","What do you do to bring in agility to the response to fast moving business changes?","NULL","11","143","100.0","795"
"1315","31","How do you correlate different business, IT data sources and identify the causality for any disruptions?","NULL","11","143","50.0","796"
"1316","22","What percentage of alerts, anomalies in the system are proactively self healed thru automations?","NULL","9","143","50.0","797"
"3246","1","Are requirements for the enterprise applications clearly documented, well-defined, and understood by the development team?","NULL","9","168","100.0","1795"
"3247","2","Is there a formal process in place for gathering, analyzing, and managing requirements throughout the development lifecycle?","NULL","9","168","100.0","1796"
"3248","3","Are requirements regularly reviewed and validated with stakeholders to ensure they align with business needs and goals?","NULL","9","168","100.0","1797"
"3249","4","Is there a systematic approach to designing the architecture and components of the enterprise applications?","NULL","9","168","100.0","1798"
"3250","5","Are design principles and best practices followed to ensure scalability, maintainability, and reusability of the software?","NULL","9","168","100.0","1799"
"3251","6","Is there a review process in place to evaluate the design decisions and ensure they meet the requirements and align with architectural standards?","NULL","9","168","100.0","1800"
"3252","7","How many lines of code (LOC) on average are authored by each developer per day/week/month?","NULL","9","168","100.0","1801"
"3253","8","Is there a coding standard or guidelines in place to maintain consistency and readability of the code?","NULL","9","168","100.0","1802"
"3254","9","Are coding best practices followed to ensure code quality, modularity, and maintainability?","NULL","9","168","100.0","1803"
"3255","10","Is there a comprehensive testing strategy and plan for the enterprise applications?","NULL","9","168","100.0","1804"
"3256","11","Are different types of testing, including unit testing, integration testing, and system testing, conducted during the development process?","NULL","9","168","100.0","1805"
"3257","12","Is there a process to track and manage defects found during testing and ensure they are addressed promptly?","NULL","9","168","100.0","1806"
"3258","13","Is there a defined process for deploying enterprise applications to production environments?","NULL","9","168","100.0","1807"
"3259","14","Are monitoring and alerting mechanisms in place to proactively identify and address operational issues in the enterprise applications?","NULL","9","168","100.0","1808"
"3260","15","Is there a well-defined incident management process to handle and resolve incidents related to the enterprise applications?","NULL","9","168","100.0","1809"
3132,1,"How does the chief human resources officer focuses on organization culture, employee experience, engagement and well-being?",NULL,9,167,9.090909090909092,1678
3133,2,How is the employer branding done with respect to recruitment?,NULL,9,167,9.090909090909092,1678
3134,3,Female management headcount in percentage,NULL,8,167,100.0,1679
3135,4,"How does the organization focuses on multiple aspects of well-being (e.g., mind, body, social, financial, purpose)?",NULL,9,167,9.090909090909092,1678
3136,5,How does the organization monitors the environment to predict any engagement and compliance issues?,NULL,9,167,9.090909090909092,1678
3137,6,In what ways the organization ensures safe working conditions for its entire workforce?,NULL,9,167,9.090909090909092,1678
3138,7,Do the organization has established processes for promoting diversity and inclusion?,NULL,9,167,9.090909090909092,1678
3139,8,How is the strategy define in place to adapt to the digital future of work?,NULL,9,167,9.090909090909092,1678
3140,9,How the HR operating model is aligned with the business model and HR strategy?,NULL,9,167,9.090909090909092,1678
3141,10,"What is the organization strategy to measure the impact of its well-being investment and how it incorporates multiple data sources (e.g., employee feedback, business metrics)?",NULL,9,167,9.090909090909092,1678
3142,11,"How does the chief human resources officer drives the talent agenda and alignment between the corporate strategy, people strategy and HR transformation?",NULL,9,167,9.090909090909092,1678
3143,12,"Are HR and finance are tightly integrated (in terms of leadership, strategy, data) and work together to ensure efficient and effective business execution?",NULL,9,167,9.090909090909092,1678
3144,13,Does your organization leverage visa programs to source talent from international labor markets?,NULL,9,167,33.333333333333336,1680
3145,14,Time to hire external workforce in days,NULL,8,167,100.0,1681
3146,15,New hire retention rate in percentage in a year,NULL,8,167,100.0,1682
3147,16,"What are the ways in which the organization delivers social collaboration, connecting employees, customers, and partners with the people they need to get work done?",NULL,9,167,33.333333333333336,1680
3148,17,How does the organization aligns present and future business needs to ensure the right people are available in the right place at the right time?,NULL,9,167,33.333333333333336,1680
3149,18,How does the organization manages the entire workforce lifecycle for in-house talent as well as for external labor?,NULL,9,167,33.333333333333336,1683
3150,19,External workforce in percentage,NULL,8,167,100.0,1684
3151,20,External workforce trained on compliance and security in percentage,NULL,8,167,100.0,1685
3152,21,How is the compensation structure defined?,NULL,9,167,33.333333333333336,1683
3153,22,What are ways to identify new workforce segmentation patterns and guide workforce decisions (correlations between coaching and engagement etc.)?,NULL,9,167,33.333333333333336,1683
3154,23,Do the organization measures the current state of the recruiting process to improve recruiting effectiveness and acquire the best talent?,NULL,9,167,25.0,1686
3155,24,HR FTEs per 100 vacancies,NULL,8,167,100.0,1687
3156,25,Cost per hire in dollars,NULL,8,167,100.0,1688
3157,26,Time to hire in days,NULL,8,167,100.0,1689
3158,27,Bad hires as a percentage of total hires,NULL,8,167,100.0,1690
3159,28,Employee referral rate in percentage,NULL,8,167,100.0,1691
3160,29,Do your organization have a reporting tool to assess current state of the recruiting process and continuously improve recruiting effectiveness ?,NULL,9,167,25.0,1686
3161,30,Does the organization evaluate the recruitment & staffing process to identify bottlenecks and improve the process further?,NULL,9,167,25.0,1686
3162,31,In what way is the recruiting strategy is aligned with risk management practices to optimize positive business impact?,NULL,9,167,25.0,1686
3163,32,How does HR provides useful and relevant workforce data to key stakeholders ?,NULL,9,167,33.333333333333336,1692
3164,33,How the Job Description(JD) is prepared and reviewed?,NULL,9,167,33.333333333333336,1692
3165,34,"Does the organization put effort to ensure job descriptions are consistent, neutral and able to attract a diverse talent pool?",NULL,9,167,33.333333333333336,1692
3166,35,What is the average time to draft and review JD in hours?,NULL,8,167,100.0,1693
3167,36,What is the average time required to align and obtain approvals for JDs from relevant parties?,NULL,8,167,100.0,1694
3168,37,How does the organization streamline the sourcing  & screening process and identify candidates with the right skills and education?,NULL,9,167,33.333333333333336,1695
3169,38,How to gauge candidate interest for a particular position?,NULL,9,167,33.333333333333336,1695
3170,39,What is the average time to screen 10 profiles for a role in days?,NULL,8,167,100.0,1696
3171,40,What  multichannel sourcing is utilized for recruitment ?,NULL,9,167,33.333333333333336,1695
3172,41,What is the cost to source 100 profiles for a role in dollars?,NULL,8,167,100.0,1697
3173,42,What is the conversion rate? (percentage of screened candidates clearing all rounds of interview),NULL,8,167,100.0,1698
3174,43,HR FTEs to source & screen 10 profiles,NULL,8,167,100.0,1699
3175,44,Does the organization leverage AI for preliminary interviewing ?,NULL,9,167,100.0,1700
3176,45,What is the average time taken to schedule the first round of interviews in days?,NULL,8,167,100.0,1701
3177,46,What is the average time taken to schedule subsequent round of interviews in days?,NULL,8,167,100.0,1702
3178,47,What is the average time taken to interview a candidate and provide feedback in hours?,NULL,8,167,100.0,1703
3179,48,What is the percentage of candidates clearing round 1?,NULL,8,167,100.0,1704
3180,49,What is the percentage of candidates clearing subsequent rounds?,NULL,8,167,100.0,1705
3181,50,What is the average time to complete a background check in days?,NULL,8,167,100.0,1706
3182,51,What is the average time to roll out the offer for a role in days?,NULL,8,167,100.0,1707
3183,52,What is the average time taken by a candidate to accept the offer in days?,NULL,8,167,100.0,1708
3184,53,What is the percentage of candidates rejecting the offer?,NULL,8,167,100.0,1709
3185,54,What is the percentage of candidates(out of the total offer rolled out) who have been successfully onboarded?,NULL,8,167,100.0,1710
3186,55,What steps HR takes to promote the employment brand and manages its presence outside organizational boundaries?,NULL,9,167,25.0,1711
3187,56,How does the organization measures the current state of the onboarding process in order to continuously improve employee experience?,NULL,9,167,25.0,1711
3188,57,New hires receiving basic training in first 3 months in percentage,NULL,8,167,100.0,1712
3189,58,Cost to onboard per hire in dollars,NULL,8,167,100.0,1713
3190,59,HR FTEs to onboard 100 candidates,NULL,8,167,100.0,1714
3191,60,Is there technology-enabled onboarding process to ensure 100% day 1 onboarding readiness?,NULL,9,167,25.0,1711
3192,61,"Does the organization's formal onboarding practices extend into socialization, personalization and enculturation of new employees?",NULL,9,167,25.0,1711
3193,62,Does the organization's onboarding processes integrate seamlessly with goal and performance processes?,NULL,9,167,25.0,1715
3194,63,Are AI driven tools used for training recommendations to improve performance of bottom-performing employees?,NULL,9,167,25.0,1715
3195,64,Top performing employee turnover rate,NULL,8,167,100.0,1716
3196,65,Employee promotions in percentage,NULL,8,167,100.0,1717
3197,66,Employees with developmental goals in percentage,NULL,8,167,100.0,1718
3198,67,Employees with goals aligned to org strategy in percentage,NULL,8,167,100.0,1719
3199,68,Does your organization leverage apprenticeship and internship programs to train and develop local talent?,NULL,9,167,25.0,1715
3200,69,What steps does the organization take to recognise and develop high potential employees?,NULL,9,167,25.0,1715
3201,70,Are employees provided tailored career paths that enable them to be self-driven in advancing their careers?,NULL,9,167,14.285714285714286,1720
3202,71,How does the managers evaluate employee performance?,NULL,9,167,14.285714285714286,1720
3203,72,"Is evaluation of  employee performance done using a common, consistent set of policies & framework?",NULL,9,167,14.285714285714286,1720
3204,73,High performer as a percentage of total employees,NULL,8,167,100.0,1721
3205,74,Employees with on-time complete performance review in percentage,NULL,8,167,100.0,1722
3206,75,Time to full productivity of new hires in days,NULL,8,167,100.0,1723
3207,76,How much is data analytics leveraged in performance tracking?,NULL,9,167,14.285714285714286,1720
3208,77,"Is there continuous performance management including dynamic goals, ongoing performance conversations, periodic feedback,with a focus on coaching and development?",NULL,9,167,14.285714285714286,1720
3209,78,Does the organization leverage RPA for automating some tasks in the performance management?,NULL,9,167,14.285714285714286,1720
3210,79,What are the performance feedback tools used to engage talent?,NULL,9,167,14.285714285714286,1720
3211,80,How does the organization ensures that employees understand the link between their goals and the overall strategic objectives?,NULL,9,167,14.285714285714286,1724
3212,81,Are the trainings aligned to business goals of the organization?,NULL,9,167,14.285714285714286,1724
3213,82,How personalized is the learning management system?,NULL,9,167,14.285714285714286,1724
3214,83,Percentage of employees who attended e-learning training,NULL,8,167,100.0,1725
3215,84,Average time in days to close an identified skill or capability gap through training,NULL,8,167,100.0,1726
3216,85,Training hours /employee,NULL,8,167,100.0,1727
3217,86,Percentage of senior level executives undergoing training/month,NULL,8,167,100.0,1728
3218,87,Learning & development FTE / 100 employees,NULL,8,167,100.0,1729
3219,88,Development goals linked to learning activities in percentage,NULL,8,167,100.0,1730
3220,89,Is there visibility on the progress of training of employees?,NULL,9,167,14.285714285714286,1724
3221,90,Is there a feedback mechanism for the trainings done?,NULL,9,167,14.285714285714286,1724
3222,91,Does the organization provides personalized learning to its employees that is aligned to company’s needs and employee specifics?,NULL,9,167,14.285714285714286,1724
3223,92,"Does the organization ensures that employees have the training, licensing, and certification needed to perform their job?",NULL,9,167,14.285714285714286,1724
3224,93,Is there a formal succession-planning process in place with key internal people and skills?,NULL,9,167,50.0,1731
3225,94,Succession pipeline depth,NULL,8,167,100.0,1732
3226,95,"In what ways does the organization documented, fair, and equitable pay practices strategic goals and initiatives?",NULL,9,167,50.0,1731
3227,96,How is the Employee data defined and stored using a single system?,NULL,9,167,25.0,1733
3228,97,Is the Employee data be easily updated by authorized individuals throughout the company as needed?,NULL,9,167,25.0,1733
3229,98,"How is the HR equipped to handle disaster recovery situations through pre-planned contingency plans, availability of employee records, being the single focal point for all communications?",NULL,9,167,25.0,1733
3230,99,What are the tools in place to enable compliance of HR processes with country-specific legal requirements?,NULL,9,167,50.0,1734
3231,100,Paycheck errors in percentage,NULL,8,167,100.0,1735
3232,101,"Does the organization controls labor costs by automating manual, error-prone timekeeping and payroll processes?",NULL,9,167,50.0,1734
3233,102,HR headcount cost as percentage of total HR cost,NULL,8,167,100.0,1736
3234,103,"Does the organization's current payroll processes support legal requirements, currencies, and languages for different locations and countries?",NULL,9,167,20.0,1737
3235,104,HR data accuracy in percentage,NULL,8,167,100.0,1738
3236,105,How is the organizations data management practices?,NULL,9,167,20.0,1737
3237,106,HR data completeness in percentage,NULL,8,167,100.0,1739
3238,107,Are there any written policies regarding ethical and moral use of employee data?,NULL,9,167,20.0,1737
3239,108,Do the organization have all the capabilities needed to address data governance and comply with changing regulations?,NULL,9,167,20.0,1737
3240,109,Do the organization has data retention management capabilities?,NULL,9,167,20.0,1737
3241,110,HR shared services FTEs per 100 EEs,NULL,8,167,100.0,1740
3242,111,How is the processes for hiring and managing contract and external workers' cycle?,NULL,9,167,100.0,1741
3243,112,"How is the workflow approvals and everyday transactions, such as leave requests, expense approvals, pay slip requests?",NULL,9,167,100.0,1742
3244,113,Is HR technology is synergistic with other new systems and capable of quickly integrating and scaling new innovations?,NULL,9,167,100.0,1743
3245,114,How is HR equipped to handle major organizational changes?,NULL,9,167,25.0,1733
"3887","1","How many new leads are there in the pipeline","NULL","9","175","100.0","2196"
"3888","2","What is the conversion rate","NULL","9","175","100.0","2213"
"3889","3","What is the average age of leads","NULL","9","175","100.0","2212"
"3890","4","What percentage of customers have continued to use our products/services","NULL","9","175","100.0","2214"
"3891","5","On Percentage how much time do users spend interacting with our platform.","NULL","9","175","100.0","2197"
"3892","6","How can you optimize customer acquisition cost for maximum value","NULL","9","175","100.0","2198"
"3893","7","What percentage of customers are satisfied to use our products/services","NULL","9","175","100.0","2199"
"3894","8","Do we have automated responses for common queries to improve FRT","NULL","9","175","100.0","2200"
"3895","9","what is the percentage of operation performed in one quarter","NULL","9","175","100.0","2201"
"3896","10","what is the cost of supply chain","NULL","9","175","100.0","2202"
"3897","11","Does the organization's current payroll processes support legal requirements, currencies, and languages for different locations and countries?","NULL","9","175","100.0","2203"
"3898","12","Do you perform vendor reviews","NULL","9","175","11.0","2204"
"3899","13","How much does your organisation spend on legal matters as % of Revenue","NULL","9","175","100.0","2205"
"3900","14","How efficient is the Hiring process","NULL","9","175","100.0","2206"
"3901","15","Was the training relevant to the job","NULL","9","175","100.0","2207"
"3902","16","What is the percentage of products released  per month based on the last quarter","NULL","9","175","100.0","2208"
"3903","17","is code review and automated scanning in place","NULL","9","175","100.0","2209"
"3904","18","What percentage of revenue is used for designing process","NULL","9","175","100.0","2210"
"3905","19","Is the quality of products verified","NULL","9","175","100.0","2211"
"3938","3938","Is the compliance rate according to industry standards?","NULL","9","175","11.0","2223"
"3939","3939","What % of products are defected?","NULL","9","175","11.0","2224"
"3940","3940","What is the impact of an invoice to your business","NULL","9","175","11.0","2225"
"3941","3941","What are the benefits of improving an emergency purchase ratio?","NULL","9","175","11.0","2226"
"3942","3942","What does each lead time measure along the supply chain?","NULL","9","175","11.0","2227"
"3943","3943","How do you calculate PO cycle time?","NULL","9","175","11.0","2228"
"3944","3944","What are the four benefits of vendor availability","NULL","9","175","11.0","2229"
"3945","3945","How can you improve cost per invoice?","NULL","9","175","11.0","2230"
