id,option_text,question_id,score,impact
3459,Partial Met,843,3,"Automatic retry pattern not present for failed transactions.\
This makes the active transactions processing incomplete and effects the business.\
Extra efforts are required to understand the failed transactions and retrigger."
3460,Fully Met,843,5,No impact as system is matured.
3461,Not Applicable,843,0,No impact as capability is not applicable.
3462,Not Met,844,1,To be Updated
3463,Partial Met,844,3,To be Updated
3464,Fully Met,844,5,No impact as system is matured.
3465,Not Applicable,844,0,No impact as capability is not applicable.
3466,Not Met,845,1,"In the CI/CD pipeline the automated testing is present, but lack of pre-agreed metrics(like latency, throughput) provided makes the service degrade when there is an unpredictable load to the service."
3467,Partial Met,845,3,"In the CI/CD pipeline the automated testing is present, but lack of pre-agreed metrics(like latency, throughput) provided makes the service degrade when there is an unpredictable load to the service."
3468,Fully Met,845,5,No impact as system is matured.
3469,Not Applicable,845,0,No impact as capability is not applicable.
3470,Not Met,846,1,"The application does not use IaC tooling for deploying the resources. This makes a time consuming process for IT teams to spin up the resources/creating new environments when required. Ensuring the parity across the envionments(like, uat, prod etc.) may be compromised."
3471,Partial Met,846,3,"The application does not use IaC tooling for deploying the resources. This makes a time consuming process for IT teams to spin up the resources/creating new environments when required. Ensuring the parity across the envionments(like, uat, prod etc.) may be compromised."
3472,Fully Met,846,5,No impact as system is matured.
3473,Not Applicable,846,0,No impact as capability is not applicable.
3474,Not Met,847,1,Application needs to be restarted manually on failure and active user sessions are lost.
3475,Partial Met,847,3,Application needs to be restarted manually on failure and active user sessions are lost.
3476,Fully Met,847,5,No impact as system is matured.
3477,Not Applicable,847,0,No impact as capability is not applicable.
3478,Not Met,848,1,Application does not have an environment similar to production environment.
3479,Partial Met,848,3,Application does not have an environment similar to production environment.
3480,Fully Met,848,5,No impact as system is matured.
3481,Not Applicable,848,0,No impact as capability is not applicable.
3482,Not Met,849,1,"CI/CD/CT pipelines does not have gating criteria defined which includes tests and approvals.\
Release quality is compromised."
3483,Partial Met,849,3,"CI/CD/CT pipelines does not have gating criteria defined which includes tests and approvals.\
Release quality is compromised."
3484,Fully Met,849,5,No impact as system is matured.
3485,Not Applicable,849,0,No impact as capability is not applicable.
3486,Not Met,850,1,"Manual process to check the coding standards and vulnerabilities is time consuming, security issues are overlooked which affects the application functionalities and increases the MTTD for the errors and remediating the issues."
3487,Partial Met,850,3,"Manual process to check the coding standards and vulnerabilities is time consuming, security issues are overlooked which affects the application functionalities and increases the MTTD for the errors and remediating the issues."
3488,Fully Met,850,5,No impact as system is matured.
3489,Not Applicable,850,0,No impact as capability is not applicable.
3490,Not Met,851,1,"Code deployment process is semiautomated/not automated. \
This could be error prone, time consuming and an overhead to maintain the deployment process steps.\
Manual efforts required for deployment."
3491,Partial Met,851,3,"Code deployment process is semiautomated/not automated. \
This could be error prone, time consuming and an overhead to maintain the deployment process steps.\
Manual efforts required for deployment."
3492,Fully Met,851,5,No impact as system is matured.
3493,Not Applicable,851,0,No impact as capability is not applicable.
3494,Not Met,852,1,To be Updated
3495,Partial Met,852,3,To be Updated
3496,Fully Met,852,5,No impact as system is matured.
3497,Not Applicable,852,0,No impact as capability is not applicable.
3498,Not Met,853,1,"Manual/Semi automated process to check the coding standards and vulnerabilities is time consuming, security issues are overlooked which affects the application functionalities and increases the MTTD for the errors and remediating the issues."
3499,Partial Met,853,3,"Manual/Semi automated process to check the coding standards and vulnerabilities is time consuming, security issues are overlooked which affects the application functionalities and increases the MTTD for the errors and remediating the issues."
3500,Fully Met,853,5,No impact as system is matured.
3501,Not Applicable,853,0,No impact as capability is not applicable.
3502,Not Met,854,1,"Peformance tests are performed based on the business requirement.\
This does not ensure the system can handle peak loads during certain point of time which cause server performance degradation OR slowness OR an outage too."
3503,Partial Met,854,3,"Peformance tests are performed based on the business requirement.\
This does not ensure the system can handle peak loads during certain point of time which cause server performance degradation OR slowness OR an outage too."
3504,Fully Met,854,5,No impact as system is matured.
3505,Not Applicable,854,0,No impact as capability is not applicable.
3506,Not Met,855,1,"Tests are not automated.\
Tests are not regularly perfomed.\
Manual testing is error prone.\
Chances of missing some of test cases execution may lead to defects in production and cause service disruption."
3507,Partial Met,855,3,"Tests are not automated.\
Tests are not regularly perfomed.\
Manual testing is error prone.\
Chances of missing some of test cases execution may lead to defects in production and cause service disruption."
3508,Fully Met,855,5,No impact as system is matured.
3509,Not Applicable,855,0,No impact as capability is not applicable.
3510,Not Met,856,1,To be Updated
3511,Partial Met,856,3,To be Updated
3512,Fully Met,856,5,No impact as system is matured.
3513,Not Applicable,856,0,No impact as capability is not applicable.
3514,Not Met,857,1,To be Updated
3515,Partial Met,857,3,To be Updated
3516,Fully Met,857,5,No impact as system is matured.
3517,Not Applicable,857,0,No impact as capability is not applicable.
3518,Not Met,858,1,"Either automated testing is not in place or automated testing is not part of CI/CD. Manual rollback on failure. This increases the deployment time, in case if there is a failure."
3519,Partial Met,858,3,"Either automated testing is not in place or automated testing is not part of CI/CD. Manual rollback on failure. This increases the deployment time, in case if there is a failure."
3520,Fully Met,858,5,No impact as system is matured.
3521,Not Applicable,858,0,No impact as capability is not applicable.
3522,Not Met,859,1,"Application needs a scheduled time or maintenance window for new releases. If the team needs to push any critical issues to the production, this wil not be possible and impacts the application functionality."
3523,Partial Met,859,3,"Application needs a scheduled time or maintenance window for new releases. If the team needs to push any critical issues to the production, this wil not be possible and impacts the application functionality."
3524,Fully Met,859,5,No impact as system is matured.
3525,Not Applicable,859,0,No impact as capability is not applicable.
3526,Not Met,860,1,To be Updated
3527,Partial Met,860,3,To be Updated
3528,Fully Met,860,5,No impact as system is matured.
3529,Not Applicable,860,0,No impact as capability is not applicable.
3530,Not Met,861,1,To be Updated
3531,Partial Met,861,3,To be Updated
3532,Fully Met,861,5,No impact as system is matured.
3533,Not Applicable,861,0,No impact as capability is not applicable.
3534,Not Met,862,1,To be Updated
3535,Partial Met,862,3,To be Updated
3536,Fully Met,862,5,No impact as system is matured.
3537,Not Applicable,862,0,No impact as capability is not applicable.
3538,Not Met,863,1,To be Updated
3539,Partial Met,863,3,To be Updated
3540,Fully Met,863,5,No impact as system is matured.
3541,Not Applicable,863,0,No impact as capability is not applicable.
3542,Not Met,864,1,Application does not have an environment similar to production environment.
3543,Partial Met,864,3,Application does not have an environment similar to production environment.
3544,Fully Met,864,5,No impact as system is matured.
3545,Not Applicable,864,0,No impact as capability is not applicable.
3546,Not Met,865,1,To be Updated
3547,Partial Met,865,3,To be Updated
3548,Fully Met,865,5,No impact as system is matured.
3549,Not Applicable,865,0,No impact as capability is not applicable.
3550,Not Met,866,1,Peformance tests are performed based on the business requirement.
3551,Partial Met,866,3,Peformance tests are performed based on the business requirement.
3552,Fully Met,866,5,No impact as system is matured.
3553,Not Applicable,866,0,No impact as capability is not applicable.
3554,Not Met,867,1,Application does not have an environment similar to production environment.
3555,Partial Met,867,3,Application does not have an environment similar to production environment.
3556,Fully Met,867,5,No impact as system is matured.
3557,Not Applicable,867,0,No impact as capability is not applicable.
3558,Not Met,868,1,To be Updated
3559,Partial Met,868,3,To be Updated
3560,Fully Met,868,5,No impact as system is matured.
3561,Not Applicable,868,0,No impact as capability is not applicable.
3562,Not Met,869,1,To be Updated
3563,Partial Met,869,3,To be Updated
3564,Fully Met,869,5,No impact as system is matured.
3565,Not Applicable,869,0,No impact as capability is not applicable.
3566,Not Met,870,1,Capacity measures are considered based on requirement.
3567,Partial Met,870,3,Capacity measures are considered based on requirement.
3568,Fully Met,870,5,No impact as system is matured.
3569,Not Applicable,870,0,No impact as capability is not applicable.
3570,Not Met,871,1,"Tests are not automated.\
Tests are not regularly perfomed.\
Manual testing is error prone.\
Chances of missing some of test cases execution may lead to defects in production and cause service disruption."
3571,Partial Met,871,3,"Tests are not automated.\
Tests are not regularly perfomed.\
Manual testing is error prone.\
Chances of missing some of test cases execution may lead to defects in production and cause service disruption."
3572,Fully Met,871,5,No impact as system is matured.
3573,Not Applicable,871,0,No impact as capability is not applicable.
3574,Not Met,872,1,"As the system implementation is not HOT/HOT across separate infrastructure possibly if there is an issue with infra failure both the sites are not acceissible and leads to outages.\
In case if the primary site fails it requires some time to switch to contingency site. System may not be available between switchover time."
3575,Partial Met,872,3,"As the system implementation is not HOT/HOT across separate infrastructure possibly if there is an issue with infra failure both the sites are not acceissible and leads to outages.\
In case if the primary site fails it requires some time to switch to contingency site. System may not be available between switchover time."
3576,Fully Met,872,5,No impact as system is matured.
3577,Not Applicable,872,0,No impact as capability is not applicable.
3578,Not Met,873,1,"Failover process within the primary site is not being regularly tested. There is a risk that the application may fail  switching from failover node, in case when the active node in the primary site is down.\
Which will lead to increased MTTR and possibly system not available until manually switched to failover site. Possibly consume error budget."
3579,Partial Met,873,3,"Failover process within the primary site is not being regularly tested. There is a risk that the application may fail  switching from failover node, in case when the active node in the primary site is down.\
Which will lead to increased MTTR and possibly system not available until manually switched to failover site. Possibly consume error budget."
3580,Fully Met,873,5,No impact as system is matured.
3581,Not Applicable,873,0,No impact as capability is not applicable.
3582,Not Met,874,1,"Risk of system unavailability in case primary site fails as there is a manual switch to DR site. \
This will lead in raising incidents related to service availablity. \
Extra efforts are required to fix the issues. \
Possibly consume error budget and increase toil."
3583,Partial Met,874,3,"Risk of system unavailability in case primary site fails as there is a manual switch to DR site. \
This will lead in raising incidents related to service availablity. \
Extra efforts are required to fix the issues. \
Possibly consume error budget and increase toil."
3584,Fully Met,874,5,No impact as system is matured.
3585,Not Applicable,874,0,No impact as capability is not applicable.
3586,Not Met,875,1,"Platform is not regularly tested to ascertain availability after a component failure.\
Platform will have disruption even whe a single component fails due to lack of testing on the internal redundancy.\
This makes the service unavailable and impact the business operations."
3587,Partial Met,875,3,"Platform is not regularly tested to ascertain availability after a component failure.\
Platform will have disruption even whe a single component fails due to lack of testing on the internal redundancy.\
This makes the service unavailable and impact the business operations."
3588,Fully Met,875,5,No impact as system is matured.
3589,Not Applicable,875,0,No impact as capability is not applicable.
3590,Not Met,876,1,"Appropriate Internal redundancy is not in place.\
Platform will have disruption when multiple infra or hardware component failures happen due to lack of high availability implementation like redundancy.\
This makes the service unavailable."
3591,Partial Met,876,3,"Appropriate Internal redundancy is not in place.\
Platform will have disruption when multiple infra or hardware component failures happen due to lack of high availability implementation like redundancy.\
This makes the service unavailable."
3592,Fully Met,876,5,No impact as system is matured.
3593,Not Applicable,876,0,No impact as capability is not applicable.
3594,Not Met,877,1,Risk of system unavailable more than expected as it requires more hours of downtime build prod site or fix issue in primary site in case primary site fails
3595,Partial Met,877,3,Risk of system unavailable more than expected as it requires more hours of downtime build prod site or fix issue in primary site in case primary site fails
3596,Fully Met,877,5,No impact as system is matured.
3597,Not Applicable,877,0,No impact as capability is not applicable.
3598,Not Met,878,1,To be Updated
3599,Partial Met,878,3,To be Updated
3600,Fully Met,878,5,No impact as system is matured.
3601,Not Applicable,878,0,No impact as capability is not applicable.
3602,Not Met,879,1,"Hot/Hot implementation is not present across multiple sites on the same infra platform.\
This does not ensure the application is highly available in the primary site.\
This may also cause performance degradation for the service, if the active node goes down in the primary site.\
Manual intervention is required to switch to DR."
3603,Partial Met,879,3,"Hot/Hot implementation is not present across multiple sites on the same infra platform.\
This does not ensure the application is highly available in the primary site.\
This may also cause performance degradation for the service, if the active node goes down in the primary site.\
Manual intervention is required to switch to DR."
3604,Fully Met,879,5,No impact as system is matured.
3605,Not Applicable,879,0,No impact as capability is not applicable.
3606,Not Met,880,1,"The primary site implementation is not running Hot/Hot across seperate infrastructure.\
Service will not be available in case if primary infrastructure fails which leads to increase in incidents and outages."
3607,Partial Met,880,3,"The primary site implementation is not running Hot/Hot across seperate infrastructure.\
Service will not be available in case if primary infrastructure fails which leads to increase in incidents and outages."
3608,Fully Met,880,5,No impact as system is matured.
3609,Not Applicable,880,0,No impact as capability is not applicable.
3610,Not Met,881,1,"The failover process is manual.\
This causes application downtime when there is an issue with running service components like database, app server etc. \
Team has to put efforts to manually switch over to other node in same site."
3611,Partial Met,881,3,"The failover process is manual.\
This causes application downtime when there is an issue with running service components like database, app server etc. \
Team has to put efforts to manually switch over to other node in same site."
3612,Fully Met,881,5,No impact as system is matured.
3613,Not Applicable,881,0,No impact as capability is not applicable.
3614,Not Met,882,1,"DR failover process is not regularly tested.\
This makes the service is not aligned to HSBC SCOTT process.\
The service does not ensure its availability in switching over to DR site in case if primary site fails.\
Chances of not meeting the RTO when there is a need to switch to DR site."
3615,Partial Met,882,3,"DR failover process is not regularly tested.\
This makes the service is not aligned to HSBC SCOTT process.\
The service does not ensure its availability in switching over to DR site in case if primary site fails.\
Chances of not meeting the RTO when there is a need to switch to DR site."
3616,Fully Met,882,5,No impact as system is matured.
3617,Not Applicable,882,0,No impact as capability is not applicable.
3618,Not Met,883,1,"Either the internal redundancy failover of the component is manual or not implemented.\
Platform will have disruption if there is a component failure, which involves the teams to replace it(if internal redundancy is manual).\
This increases the MTTR, if the team is unable to replace within the available time causing service disruption."
3619,Partial Met,883,3,"Either the internal redundancy failover of the component is manual or not implemented.\
Platform will have disruption if there is a component failure, which involves the teams to replace it(if internal redundancy is manual).\
This increases the MTTR, if the team is unable to replace within the available time causing service disruption."
3620,Fully Met,883,5,No impact as system is matured.
3621,Not Applicable,883,0,No impact as capability is not applicable.
3622,Not Met,884,1,"Hot/Hot implementation is not available with different platforms or vendors.\
Dependency on the infra platform will be increased, in case if the service is able to run only on specified infra platforms."
3623,Partial Met,884,3,"Hot/Hot implementation is not available with different platforms or vendors.\
Dependency on the infra platform will be increased, in case if the service is able to run only on specified infra platforms."
3624,Fully Met,884,5,No impact as system is matured.
3625,Not Applicable,884,0,No impact as capability is not applicable.
3626,Not Met,885,1,"Either the failover process is manual or primary site resilience is not implemented.\
This causes application downtime when there is an issue with running service components like database, app server etc. \
Team has to put efforts to manually switch over to contingency site or bring back the primary site."
3627,Partial Met,885,3,"Either the failover process is manual or primary site resilience is not implemented.\
This causes application downtime when there is an issue with running service components like database, app server etc. \
Team has to put efforts to manually switch over to contingency site or bring back the primary site."
3628,Fully Met,885,5,No impact as system is matured.
3629,Not Applicable,885,0,No impact as capability is not applicable.
3630,Not Met,886,1,"Platform does not have multiple redundant components in Hot/Hot manner.\
This makes the service unavailable in case if the primary component fails.\
This increases the MTTR, if the team is unable to replace within the available time causing service disruption."
3631,Partial Met,886,3,"Platform does not have multiple redundant components in Hot/Hot manner.\
This makes the service unavailable in case if the primary component fails.\
This increases the MTTR, if the team is unable to replace within the available time causing service disruption."
3632,Fully Met,886,5,No impact as system is matured.
3633,Not Applicable,886,0,No impact as capability is not applicable.
3634,Not Met,887,1,Applications in Tier 0 and Tier 1 should be hosted in a Tier 0 GDC
3635,Partial Met,887,3,Applications in Tier 0 and Tier 1 should be hosted in a Tier 0 GDC
3636,Fully Met,887,5,No impact as system is matured.
3637,Not Applicable,887,0,No impact as capability is not applicable.
3638,Not Met,888,1,Hosted applications should use one of the corporate data centers.
3639,Partial Met,888,3,Hosted applications should use one of the corporate data centers.
3640,Fully Met,888,5,No impact as system is matured.
3641,Not Applicable,888,0,No impact as capability is not applicable.
3642,Not Met,889,1,Applications in Tier 0 and Tier 1 should be hosted in a Tier 0 GDC
3643,Partial Met,889,3,Applications in Tier 0 and Tier 1 should be hosted in a Tier 0 GDC
3644,Fully Met,889,5,No impact as system is matured.
3645,Not Applicable,889,0,No impact as capability is not applicable.
3646,Not Met,890,1,To be Updated
3647,Partial Met,890,3,To be Updated
3648,Fully Met,890,5,No impact as system is matured.
3649,Not Applicable,890,0,No impact as capability is not applicable.
3650,Not Met,891,1,To be Updated
3651,Partial Met,891,3,To be Updated
3652,Fully Met,891,5,No impact as system is matured.
3653,Not Applicable,891,0,No impact as capability is not applicable.
3654,Not Met,892,1,"Application or service is not hosted on Cloud Service platform.\
High availability, auto scaling, reliability of the services might be compromised by using on premises data centers."
3655,Partial Met,892,3,"Application or service is not hosted on Cloud Service platform.\
High availability, auto scaling, reliability of the services might be compromised by using on premises data centers."
3656,Fully Met,892,5,No impact as system is matured.
3657,Not Applicable,892,0,No impact as capability is not applicable.
3658,Not Met,893,1,To be Updated
3659,Partial Met,893,3,To be Updated
3660,Fully Met,893,5,No impact as system is matured.
3661,Not Applicable,893,0,No impact as capability is not applicable.
3662,Not Met,894,1,"IKP or ICP are internal scalable intrastructure, which can be used if the application has load fluctuations. Such platforms help save cost in the long run and can also be easily upgraded."
3663,Partial Met,894,3,"IKP or ICP are internal scalable intrastructure, which can be used if the application has load fluctuations. Such platforms help save cost in the long run and can also be easily upgraded."
3664,Fully Met,894,5,No impact as system is matured.
3665,Not Applicable,894,0,No impact as capability is not applicable.
3666,Not Met,895,1,Risk of system unavailability in case primary site fails till the time it switches to DR instance.
3667,Partial Met,895,3,Risk of system unavailability in case primary site fails till the time it switches to DR instance.
3668,Fully Met,895,5,No impact as system is matured.
3669,Not Applicable,895,0,No impact as capability is not applicable.
3670,Not Met,896,1,Risk of system unavailability or performance degradation in case components are running out of resources due to increased load. Due to lack of capacity planning no visiblity on current capacity load and future capacity requirement.
3671,Partial Met,896,3,Risk of system unavailability or performance degradation in case components are running out of resources due to increased load. Due to lack of capacity planning no visiblity on current capacity load and future capacity requirement.
3672,Fully Met,896,5,No impact as system is matured.
3673,Not Applicable,896,0,No impact as capability is not applicable.
3674,Not Met,897,1,Risk of loosing data in case if database or datastore crashed as not daily back ups are in place.
3675,Partial Met,897,3,Risk of loosing data in case if database or datastore crashed as not daily back ups are in place.
3676,Fully Met,897,5,No impact as system is matured.
3677,Not Applicable,897,0,No impact as capability is not applicable.
3678,Not Met,898,1,"Predictive capacity monitoring is not implemented.\
Proactive alerts will not be generated for the resources usage of the system which will not provide a forecast measure for the future capacity needs.\
This may degrade the service as there is not enough visibility to plan the capacity needs."
3679,Partial Met,898,3,"Predictive capacity monitoring is not implemented.\
Proactive alerts will not be generated for the resources usage of the system which will not provide a forecast measure for the future capacity needs.\
This may degrade the service as there is not enough visibility to plan the capacity needs."
3680,Fully Met,898,5,No impact as system is matured.
3681,Not Applicable,898,0,No impact as capability is not applicable.
3682,Not Met,899,1,"Service does not have Live/Live availability pattern.\
This does not ensure the application is highly available in the primary site.\
This may also cause performance degradation for the service, if the active node goes down in the primary site.\
Manual intervention is required to switch to other node on primary or DR."
3683,Partial Met,899,3,"Service does not have Live/Live availability pattern.\
This does not ensure the application is highly available in the primary site.\
This may also cause performance degradation for the service, if the active node goes down in the primary site.\
Manual intervention is required to switch to other node on primary or DR."
3684,Fully Met,899,5,No impact as system is matured.
3685,Not Applicable,899,0,No impact as capability is not applicable.
3686,Not Met,900,1,To be Updated
3687,Partial Met,900,3,To be Updated
3688,Fully Met,900,5,No impact as system is matured.
3689,Not Applicable,900,0,No impact as capability is not applicable.
3690,Not Met,901,1,"Failover to a local standby instance is not fully automated. The envionrment cannot be redepolyed automatically.\
This causes service disruption when the primary instance fails.\
In case, if the standby instance does not come to the active state within the RTO, leads to service degradation and availability too."
3691,Partial Met,901,3,"Failover to a local standby instance is not fully automated. The envionrment cannot be redepolyed automatically.\
This causes service disruption when the primary instance fails.\
In case, if the standby instance does not come to the active state within the RTO, leads to service degradation and availability too."
3692,Fully Met,901,5,No impact as system is matured.
3693,Not Applicable,901,0,No impact as capability is not applicable.
3694,Not Met,902,1,To be Updated
3695,Partial Met,902,3,To be Updated
3696,Fully Met,902,5,No impact as system is matured.
3697,Not Applicable,902,0,No impact as capability is not applicable.
3698,Not Met,903,1,"Workload distribution is not dynamically portable across different sites.\
This may cause performance degradation when the site has increased load of the transactions as the distribution of the load is not dynamic."
3699,Partial Met,903,3,"Workload distribution is not dynamically portable across different sites.\
This may cause performance degradation when the site has increased load of the transactions as the distribution of the load is not dynamic."
3700,Fully Met,903,5,No impact as system is matured.
3701,Not Applicable,903,0,No impact as capability is not applicable.
3702,Not Met,904,1,To be Updated
3703,Partial Met,904,3,To be Updated
3704,Fully Met,904,5,No impact as system is matured.
3705,Not Applicable,904,0,No impact as capability is not applicable.
3706,Not Met,905,1,To be Updated
3707,Partial Met,905,3,To be Updated
3708,Fully Met,905,5,No impact as system is matured.
3709,Not Applicable,905,0,No impact as capability is not applicable.
3710,Not Met,906,1,To be Updated
3711,Partial Met,906,3,To be Updated
3712,Fully Met,906,5,No impact as system is matured.
3713,Not Applicable,906,0,No impact as capability is not applicable.
3714,Not Met,907,1,"DR solution and process is not automated and manual inputs required.\
This may cause service interruption if the any of the manual steps are missed or wrongly executed during a DR failover."
3715,Partial Met,907,3,"DR solution and process is not automated and manual inputs required.\
This may cause service interruption if the any of the manual steps are missed or wrongly executed during a DR failover."
3716,Fully Met,907,5,No impact as system is matured.
3717,Not Applicable,907,0,No impact as capability is not applicable.
3718,Not Met,908,1,"Auto scaling is not in place w.r.t to increased load.\
The service may degrade/crash when there is an increased load, as the system will use maximum usage of resources like cpu, memory etc.\
This may also lead to outages, increase in the number of incidents."
3719,Partial Met,908,3,"Auto scaling is not in place w.r.t to increased load.\
The service may degrade/crash when there is an increased load, as the system will use maximum usage of resources like cpu, memory etc.\
This may also lead to outages, increase in the number of incidents."
3720,Fully Met,908,5,No impact as system is matured.
3721,Not Applicable,908,0,No impact as capability is not applicable.
3722,Not Met,909,1,"Workload distribution is not dynamically portable across independent local infrastructure.\
This may cause performance degradation when the site has increased load of the transactions as the distribution of the load is not dynamic.\
If  there is no same site resiliency in place across independent local infrastructue, this will lead to outages, in case if the infra failure happen."
3723,Partial Met,909,3,"Workload distribution is not dynamically portable across independent local infrastructure.\
This may cause performance degradation when the site has increased load of the transactions as the distribution of the load is not dynamic.\
If  there is no same site resiliency in place across independent local infrastructue, this will lead to outages, in case if the infra failure happen."
3724,Fully Met,909,5,No impact as system is matured.
3725,Not Applicable,909,0,No impact as capability is not applicable.
3726,Not Met,910,1,To be Updated
3727,Partial Met,910,3,To be Updated
3728,Fully Met,910,5,No impact as system is matured.
3729,Not Applicable,910,0,No impact as capability is not applicable.
3730,Not Met,911,1,Risk of loosing data in case if database or datastore crashed as not daily back ups are in place.
3731,Partial Met,911,3,Risk of loosing data in case if database or datastore crashed as not daily back ups are in place.
3732,Fully Met,911,5,No impact as system is matured.
3733,Not Applicable,911,0,No impact as capability is not applicable.
3734,Not Met,912,1,To be Updated
3735,Partial Met,912,3,To be Updated
3736,Fully Met,912,5,No impact as system is matured.
3737,Not Applicable,912,0,No impact as capability is not applicable.
3738,Not Met,913,1,To be Updated
3739,Partial Met,913,3,To be Updated
3740,Fully Met,913,5,No impact as system is matured.
3741,Not Applicable,913,0,No impact as capability is not applicable.
3742,Not Met,914,1,"Technical components are not automatically discovered and linked to an IT Service.\
This makes some of the critical components mapping is missed which might not give a view of the applications involved in the important buisness services."
3743,Partial Met,914,3,"Technical components are not automatically discovered and linked to an IT Service.\
This makes some of the critical components mapping is missed which might not give a view of the applications involved in the important buisness services."
3744,Fully Met,914,5,No impact as system is matured.
3745,Not Applicable,914,0,No impact as capability is not applicable.
3746,Not Met,915,1,"Manual intervention required to start or stop the components of the application stack.\
This process may cause impact to the application service if components are started or stopped without understanding the dependencies."
3747,Partial Met,915,3,"Manual intervention required to start or stop the components of the application stack.\
This process may cause impact to the application service if components are started or stopped without understanding the dependencies."
3748,Fully Met,915,5,No impact as system is matured.
3749,Not Applicable,915,0,No impact as capability is not applicable.
3750,Not Met,916,1,"Automated testing and gating is not implemented as part of release process and pipeline.\
Implementing the CI/CD pipeline will not be possible if there is no automated testing and gating.\
Possibly some test cases might get skipped which might leads to issues in production and also impacts the service.\
Release process timelines gets impacted."
3751,Partial Met,916,3,"Automated testing and gating is not implemented as part of release process and pipeline.\
Implementing the CI/CD pipeline will not be possible if there is no automated testing and gating.\
Possibly some test cases might get skipped which might leads to issues in production and also impacts the service.\
Release process timelines gets impacted."
3752,Fully Met,916,5,No impact as system is matured.
3753,Not Applicable,916,0,No impact as capability is not applicable.
3754,Not Met,917,1,To be Updated
3755,Partial Met,917,3,To be Updated
3756,Fully Met,917,5,No impact as system is matured.
3757,Not Applicable,917,0,No impact as capability is not applicable.
3758,Not Met,918,1,To be Updated
3759,Partial Met,918,3,To be Updated
3760,Fully Met,918,5,No impact as system is matured.
3761,Not Applicable,918,0,No impact as capability is not applicable.
3762,Not Met,919,1,To be Updated
3763,Partial Met,919,3,To be Updated
3764,Fully Met,919,5,No impact as system is matured.
3765,Not Applicable,919,0,No impact as capability is not applicable.
3774,Not Met,922,1,To be Updated
3775,Partial Met,922,3,To be Updated
3776,Fully Met,922,5,No impact as system is matured.
3777,Not Applicable,922,0,No impact as capability is not applicable.
3778,Not Met,923,1,"Proactive monitoring is not implemented.\
Does not alert operations teams to address any memory issues before it causes an application or server to crash."
3779,Partial Met,923,3,"Proactive monitoring is not implemented.\
Does not alert operations teams to address any memory issues before it causes an application or server to crash."
3780,Fully Met,923,5,No impact as system is matured.
3781,Not Applicable,923,0,No impact as capability is not applicable.
3782,Not Met,924,1,"Architects are not included in Incident Reviews.\
This will make the team to understand the architecture in a different perspective when an incident occur, which might lead to more efforts in analysing the same.\
This makes the teams to spend more time in analysing the incident and finding the root cause.\
Chances of occurring more incidents, if the incident is wrongly analysed and fixed."
3783,Partial Met,924,3,"Architects are not included in Incident Reviews.\
This will make the team to understand the architecture in a different perspective when an incident occur, which might lead to more efforts in analysing the same.\
This makes the teams to spend more time in analysing the incident and finding the root cause.\
Chances of occurring more incidents, if the incident is wrongly analysed and fixed."
3784,Fully Met,924,5,No impact as system is matured.
3785,Not Applicable,924,0,No impact as capability is not applicable.
3786,Not Met,925,1,"Capacity auto scaling is not in place based on telemetry feedback.\
This makes the service degrade when there are peak loads, as the system will use maximun usage of cpu, memory etc."
3787,Partial Met,925,3,"Capacity auto scaling is not in place based on telemetry feedback.\
This makes the service degrade when there are peak loads, as the system will use maximun usage of cpu, memory etc."
3788,Fully Met,925,5,No impact as system is matured.
3789,Not Applicable,925,0,No impact as capability is not applicable.
3790,Not Met,926,1,To be Updated
3791,Partial Met,926,3,To be Updated
3792,Fully Met,926,5,No impact as system is matured.
3793,Not Applicable,926,0,No impact as capability is not applicable.
3794,Not Met,927,1,"Either all the service components cannot be automatically redeployed OR manual intervention required.\
This may cause impact to the application deployment process.\
As the dependencies/the sequences of the components are maintained manually, chances of missing the steps in the deployment process may cause deployment failure.\
Because of the deployment failure, the service also gets impacted, and needs to redeployed which add additional efforts and impacts SLA."
3795,Partial Met,927,3,"Either all the service components cannot be automatically redeployed OR manual intervention required.\
This may cause impact to the application deployment process.\
As the dependencies/the sequences of the components are maintained manually, chances of missing the steps in the deployment process may cause deployment failure.\
Because of the deployment failure, the service also gets impacted, and needs to redeployed which add additional efforts and impacts SLA."
3796,Fully Met,927,5,No impact as system is matured.
3797,Not Applicable,927,0,No impact as capability is not applicable.
3798,Not Met,928,1,To be Updated
3799,Partial Met,928,3,To be Updated
3800,Fully Met,928,5,No impact as system is matured.
3801,Not Applicable,928,0,No impact as capability is not applicable.
3802,Not Met,929,1,To be Updated
3803,Partial Met,929,3,To be Updated
3804,Fully Met,929,5,No impact as system is matured.
3805,Not Applicable,929,0,No impact as capability is not applicable.
3806,Not Met,930,1,"No sufficient telemetry data is produced to monitor business level performance indicators like user experience.
Missing of this performance monitoring practice, application teams cannot understand how the application behaves when there is more user load w.r.t to certain path in the application.
Monitoring the ability of the service will not be known which in turn gives wrong estimates for baselining the application performance, identifying areas of improvement and improvement of performance strategies."
3807,Partial Met,930,3,"No sufficient telemetry data is produced to monitor business level performance indicators like user experience.\
Missing of this performance monitoring practice, application teams cannot understand how the application behaves when there is more user load w.r.t to certain path in the application.\
Monitoring the ability of the service will not be known which in turn gives wrong estimates for baselining the application performance, identifying areas of improvement and improvement of performance strategies."
3808,Fully Met,930,5,No impact as system is matured.
3809,Not Applicable,930,0,No impact as capability is not applicable.
