attributes,dataset_type,description,exp_status,name,organization,schemajson,type,backing_dataset,dataset_schema,datasource,lastmodifiedby,lastmodifieddate,alias,context,is_approval_required,is_permission_managed,is_inbox_required,is_audit_required,is_archival_enabled,archival_config,dashboard,metadata,modeltype,views,taskdetails,tags,interfacetype,adaptername,isadapteractive,indexname,summary,event_details
"{""filter"":"""",""mode"":""query"",""Query"":""WITH RECURSIVE numbers AS (\\n    SELECT 0 AS n\\n    UNION ALL\\n    SELECT n + 1 FROM numbers WHERE n < 10 \\n),\\ntelemetry_data AS ( \\n    SELECT\\n        JSON_UNQUOTE(JSON_EXTRACT(t.metric_value, '$[*].context')) AS questionnaire,\\n        JSON_UNQUOTE(JSON_EXTRACT(t.metric_value, '$[*].value')) AS counts\\n    FROM (SELECT metric_value FROM dailysnapshot WHERE metric_name='top questionnaire') AS t\\n)\\nSELECT\\n    JSON_UNQUOTE(JSON_EXTRACT(td.questionnaire, CONCAT('$[', n.n, ']'))) AS questionnaire,\\n    JSON_UNQUOTE(JSON_EXTRACT(td.counts, CONCAT('$[', n.n, ']'))) AS counts\\nFROM telemetry_data td\\nINNER JOIN numbers n ON n.n < JSON_LENGTH(td.questionnaire);"",""Cacheable"":false,""isStreaming"":""false"",""Headers"":"""",""defaultValues"":"""",""QueryParams"":"""",""writeMode"":""append"",""params"":""{}"",""tableName"":""dailysnapshot"",""uniqueIdentifier"":""""}",NULL,NULL,NULL,"LEOTPQST36538","Pragya_1177353",NULL,"r",NULL,NULL,"LEOTLMTR19390","admin","2025-01-29 09:53:32.323853","Questionnaire Count",NULL,"\0","\0","\0","\0",NULL,NULL,NULL,NULL,NULL,"Table View","[]","[]",NULL,NULL,NULL,NULL,NULL,NULL
"{""filter"":"""",""mode"":""query"",""Query"":""WITH RECURSIVE numbers AS (\\n    SELECT 0 AS n\\n    UNION ALL\\n    SELECT n + 1 FROM numbers WHERE n < 10 \\n),\\ntelemetry_data AS ( \\n    SELECT\\n        JSON_UNQUOTE(JSON_EXTRACT(t.metric_value, '$[*].component')) AS COMPONENT,\\n        JSON_UNQUOTE(JSON_EXTRACT(t.metric_value, '$[*].value')) AS counts\\n    FROM (SELECT metric_value FROM dailysnapshot WHERE metric_name='top component') AS t\\n)\\nSELECT\\n    JSON_UNQUOTE(JSON_EXTRACT(td.component, CONCAT('$[', n.n, ']'))) AS COMPONENT,\\n    JSON_UNQUOTE(JSON_EXTRACT(td.counts, CONCAT('$[', n.n, ']'))) AS counts\\nFROM telemetry_data td\\nINNER JOIN numbers n ON n.n < JSON_LENGTH(td.component);"",""Cacheable"":false,""isStreaming"":""false"",""Headers"":"""",""defaultValues"":"""",""QueryParams"":"""",""writeMode"":""append"",""params"":""{}"",""tableName"":""dailysnapshot"",""uniqueIdentifier"":""""}",NULL,NULL,"2","LEOIVMSC76728","Pragya_1177353",NULL,"r",NULL,NULL,"LEOTLMTR19390","admin","2025-01-29 09:59:14.782838","IVM Screen Count",NULL,"\0","\0","\0","\0",NULL,NULL,NULL,NULL,NULL,"Table View","[]","[]",NULL,NULL,NULL,NULL,NULL,NULL
"{""filter"":"""",""mode"":""query"",""Query"":""WITH RECURSIVE numbers AS (\\n    SELECT 0 AS n\\n    UNION ALL\\n    SELECT n + 1 FROM numbers WHERE n < 10 \\n),\\ntelemetry_data AS ( \\n    SELECT\\n        JSON_UNQUOTE(JSON_EXTRACT(t.metric_value, '$[*].component')) AS COMPONENT,\\n        JSON_UNQUOTE(JSON_EXTRACT(t.metric_value, '$[*].value')) AS counts\\n    FROM (SELECT metric_value FROM dailysnapshot WHERE metric_name='top component') AS t\\n),\\nparsed_data AS (\\n    SELECT\\n        JSON_UNQUOTE(JSON_EXTRACT(td.component, CONCAT('$[', n.n, ']'))) AS COMPONENT,\\n        CAST(JSON_UNQUOTE(JSON_EXTRACT(td.counts, CONCAT('$[', n.n, ']'))) AS UNSIGNED) AS counts\\n    FROM telemetry_data td\\n    INNER JOIN numbers n ON n.n < JSON_LENGTH(td.component)\\n)\\nSELECT COMPONENT, counts\\nFROM parsed_data\\nORDER BY counts DESC\\nLIMIT 1;"",""Cacheable"":false,""isStreaming"":""false"",""Headers"":"""",""defaultValues"":"""",""QueryParams"":"""",""writeMode"":""append"",""params"":""{}"",""tableName"":""dailysnapshot"",""uniqueIdentifier"":""""}",NULL,NULL,"2","LEOTPVST15017","Pragya_1177353",NULL,"r",NULL,NULL,"LEOTLMTR19390","admin","2025-01-29 10:06:34.751243","Top Visited IVM Screen",NULL,"\0","\0","\0","\0",NULL,NULL,NULL,NULL,NULL,"Table View","[]","[]",NULL,NULL,NULL,NULL,NULL,NULL
"{""filter"":"""",""mode"":""query"",""Query"":""WITH RECURSIVE numbers AS (\\n    SELECT 0 AS n\\n    UNION ALL\\n    SELECT n + 1 FROM numbers WHERE n < 10 \\n),\\ntelemetry_data AS ( \\n    SELECT\\n        JSON_UNQUOTE(JSON_EXTRACT(t.metric_value, '$[*].context')) AS questionnaire,\\n        JSON_UNQUOTE(JSON_EXTRACT(t.metric_value, '$[*].value')) AS counts\\n    FROM (SELECT metric_value FROM dailysnapshot WHERE metric_name='top questionnaire') AS t\\n),\\nparsed_data AS (\\n    SELECT\\n        JSON_UNQUOTE(JSON_EXTRACT(td.questionnaire, CONCAT('$[', n.n, ']'))) AS questionnaire,\\n        CAST(JSON_UNQUOTE(JSON_EXTRACT(td.counts, CONCAT('$[', n.n, ']'))) AS UNSIGNED) AS counts\\n    FROM telemetry_data td\\n    INNER JOIN numbers n ON n.n < JSON_LENGTH(td.questionnaire)\\n)\\nSELECT questionnaire, counts\\nFROM parsed_data\\nORDER BY counts DESC\\nLIMIT 1;"",""Cacheable"":false,""isStreaming"":""false"",""Headers"":"""",""defaultValues"":"""",""QueryParams"":"""",""writeMode"":""append"",""params"":""{}"",""tableName"":""dailysnapshot"",""uniqueIdentifier"":""""}",NULL,NULL,"2","LEOTPVST17759","Pragya_1177353",NULL,"r",NULL,NULL,"LEOTLMTR19390","admin","2025-01-29 10:11:36.863018","Top Visited Questionnaire",NULL,"\0","\0","\0","\0",NULL,NULL,NULL,NULL,NULL,"Table View","[]","[]",NULL,NULL,NULL,NULL,NULL,NULL
"{""filter"":"""",""mode"":""query"",""Query"":""WITH RECURSIVE numbers AS (\\n    SELECT 0 AS n\\n    UNION ALL\\n    SELECT n + 1 FROM numbers WHERE n < 10 \\n),\\ntelemetry_data AS ( \\n    SELECT\\n        JSON_UNQUOTE(JSON_EXTRACT(t.metric_value, '$[*].context')) AS questionnaire,\\n        JSON_UNQUOTE(JSON_EXTRACT(t.metric_value, '$[*].value')) AS counts\\n    FROM (SELECT metric_value FROM dailysnapshot WHERE metric_name='questionnaires saved') AS t\\n)\\nSELECT\\n    JSON_UNQUOTE(JSON_EXTRACT(td.questionnaire, CONCAT('$[', n.n, ']'))) AS questionnaire,\\n    JSON_UNQUOTE(JSON_EXTRACT(td.counts, CONCAT('$[', n.n, ']'))) AS counts\\nFROM telemetry_data td\\nINNER JOIN numbers n ON n.n < JSON_LENGTH(td.questionnaire);"",""Cacheable"":false,""isStreaming"":""false"",""Headers"":"""",""defaultValues"":"""",""QueryParams"":"""",""writeMode"":""append"",""params"":""{}"",""tableName"":""dailysnapshot"",""uniqueIdentifier"":""""}",NULL,NULL,"2","LEOQSTNR77855","Pragya_1177353",NULL,"r",NULL,NULL,"LEOTLMTR19390","admin","2025-01-29 11:43:33.675886","Questionnaires Saved",NULL,"\0","\0","\0","\0",NULL,NULL,NULL,NULL,NULL,"Table View","[]","[]",NULL,NULL,NULL,NULL,NULL,NULL
"{""filter"":"""",""mode"":""query"",""Query"":""WITH RECURSIVE numbers AS (\\n    SELECT 0 AS n\\n    UNION ALL\\n    SELECT n + 1 FROM numbers WHERE n < 10 \\n),\\ntelemetry_data AS ( \\n    SELECT\\n        JSON_UNQUOTE(JSON_EXTRACT(t.metric_value, '$[*].context')) AS questionnaire,\\n        JSON_UNQUOTE(JSON_EXTRACT(t.metric_value, '$[*].value')) AS counts\\n    FROM (SELECT metric_value FROM dailysnapshot WHERE metric_name='questionnaires submitted') AS t\\n)\\nSELECT\\n    JSON_UNQUOTE(JSON_EXTRACT(td.questionnaire, CONCAT('$[', n.n, ']'))) AS questionnaire,\\n    JSON_UNQUOTE(JSON_EXTRACT(td.counts, CONCAT('$[', n.n, ']'))) AS counts\\nFROM telemetry_data td\\nINNER JOIN numbers n ON n.n < JSON_LENGTH(td.questionnaire);"",""Cacheable"":false,""isStreaming"":""false"",""Headers"":"""",""defaultValues"":"""",""QueryParams"":"""",""writeMode"":""append"",""params"":""{}"",""tableName"":""dailysnapshot"",""uniqueIdentifier"":""""}",NULL,NULL,"2","LEOQSTNR25843","Pragya_1177353",NULL,"r",NULL,NULL,"LEOTLMTR19390","admin","2025-01-29 11:44:34.707275","Questionnaires Submitted",NULL,"\0","\0","\0","\0",NULL,NULL,NULL,NULL,NULL,"Table View","[]","[]",NULL,NULL,NULL,NULL,NULL,NULL
"{""filter"":"""",""mode"":""query"",""Query"":""WITH RECURSIVE numbers AS (\\n    SELECT 0 AS n\\n    UNION ALL\\n    SELECT n + 1 FROM numbers WHERE n < 10 \\n),\\ntelemetry_data AS ( \\n    SELECT\\n        JSON_UNQUOTE(JSON_EXTRACT(t.metric_value, '$[*].Dashboard_Name')) AS `Dashboard_Name`,\\n        JSON_UNQUOTE(JSON_EXTRACT(t.metric_value, '$[*].count')) AS `count`\\n    FROM (SELECT metric_value FROM dailysnapshot WHERE metric_name='monthly_dashboard_average' ORDER BY `DateTime` DESC LIMIT 1) AS t\\n)\\nSELECT\\n    JSON_UNQUOTE(JSON_EXTRACT(td.Dashboard_Name, CONCAT('$[', n.n, ']'))) AS Dashboard_Name,\\n    JSON_UNQUOTE(JSON_EXTRACT(td.count, CONCAT('$[', n.n, ']'))) AS `count`\\nFROM telemetry_data td \\nINNER JOIN numbers n ON n.n < JSON_LENGTH(td.Dashboard_Name) ORDER BY CAST(`count` AS FLOAT) DESC"",""Cacheable"":false,""isStreaming"":""false"",""Headers"":"""",""defaultValues"":"""",""QueryParams"":"""",""writeMode"":""append"",""params"":""{}"",""tableName"":"""",""uniqueIdentifier"":""""}",NULL,NULL,"2","LEODSHBR92446","Pragya_1177353",NULL,"r",NULL,NULL,"LEOTLMTR19390","admin","2025-02-06 10:32:36.429593","Dashboard Monthly Visit Average",NULL,"\0","\0","\0","\0",NULL,NULL,NULL,NULL,NULL,"Table View","[]","[]",NULL,NULL,NULL,NULL,NULL,NULL
"{""filter"":"""",""mode"":""query"",""Query"":""WITH RECURSIVE numbers AS (\\n    SELECT 0 AS n\\n    UNION ALL\\n    SELECT n + 1 FROM numbers WHERE n < 10 \\n),\\ntelemetry_data AS ( \\n    SELECT\\n        JSON_UNQUOTE(JSON_EXTRACT(t.metric_value, '$[*].Pipeline_Name')) AS `Pipeline_Name`,\\n        JSON_UNQUOTE(JSON_EXTRACT(t.metric_value, '$[*].counts')) AS `counts`\\n    FROM (SELECT metric_value FROM dailysnapshot WHERE metric_name='Pipeline Execution Summary' ORDER BY `DateTime` DESC) AS t\\n)\\nSELECT\\n    JSON_UNQUOTE(JSON_EXTRACT(td.Pipeline_Name, CONCAT('$[', n.n, ']'))) AS Pipeline_Name,\\n    JSON_UNQUOTE(JSON_EXTRACT(td.counts, CONCAT('$[', n.n, ']'))) AS `counts`\\nFROM telemetry_data td \\nINNER JOIN numbers n ON n.n < JSON_LENGTH(td.Pipeline_Name) ORDER BY `counts` DESC"",""Cacheable"":false,""isStreaming"":""false"",""Headers"":"""",""defaultValues"":"""",""QueryParams"":"""",""writeMode"":""append"",""params"":""{}"",""tableName"":"""",""uniqueIdentifier"":""""}",NULL,NULL,NULL,"LEOPPLNX46149","Pragya_1177353",NULL,"rw",NULL,NULL,"LEOTLMTR19390","admin","2025-02-13 07:18:39.501772","Pipeline Execution Summary",NULL,"\0","\0","\0","\0",NULL,NULL,NULL,NULL,NULL,"Table View",NULL,"[]",NULL,NULL,NULL,NULL,NULL,NULL
"{"bucket":"aiptest","path":"sample_linear","uploadFile":"/app/uploads/1748418229475/Salary_Data.csv","Cacheable":false,"Headers":"","QueryParams":"","object":"Salary_Data.csv"}",NULL,NULL,2,LEOLNRRG50793,leo1311,NULL,rw,NULL,NULL,LEOMN-S310629,demouser,"2025-05-28 07:43:57.920572","Sample Linear Regression ",NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,"Table View",[],[],NULL,NULL,NULL,NULL,NULL,NULL
"{"bucket":"aiptest","path":"sample_classification","uploadFile":"/app/uploads/1748418157989/email_classification_dataset.csv","Cacheable":false,"Headers":"","QueryParams":"","object":"email_classification_dataset.csv"}",NULL,NULL,2,LEOSMPL_14585,leo1311,NULL,rw,NULL,NULL,LEOMN-S310629,demouser,"2025-05-28 07:42:52.147677",Sample_classification,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,"Table View",[],[],NULL,NULL,NULL,NULL,NULL,NULL
"{"bucket":"aiptest","path":"rag","uploadFile":"/app/uploads/1749031378028/hr_policy.txt","Cacheable":false,"Headers":"","QueryParams":"","object":"hr_policy.txt"}",NULL,NULL,NULL,LEORG-SC86772,leo1311,NULL,rw,NULL,NULL,LEOMN-S310629,demouser,"2025-06-04 10:03:12.269158",Rag-usecase,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,"Text View",NULL,[],NULL,NULL,NULL,NULL,NULL,NULL
