"id","slno","question_id","question","usm_project_id","answer","score","questionnaire_instance_id","last_updated_date","last_updated_by","metric_dimension_id"
"232","61","3192","Does the organization's formal onboarding practices extend into socialization, personalization and enculturation of new employees?","2","There is an onboarding process, but the rest of the employee or new-hire learning is done on the job","2.00","235","2023-09-28","admin","1711"
"233","54","3185","What is the percentage of candidates(out of the total offer rolled out) who have been successfully onboarded?","2","100","4.00","235","2023-09-28","admin","1710"
"234","55","3186","What steps HR takes to promote the employment brand and manages its presence outside organizational boundaries?","2","There is a career portal on the Web site, but the portal is hardly promoted or updated","2.00","235","2023-09-28","admin","1711"
"235","62","3193","Does the organization's onboarding processes integrate seamlessly with goal and performance processes?","2","Uses prehire assessment results  to determine appropriate career/development tracks","2.00","235","2023-09-28","admin","1715"
"236","63","3194","Are AI driven tools used for training recommendations to improve performance of bottom-performing employees?","2","No, but considering it for future","2.00","235","2023-09-28","admin","1715"
"237","64","3195","Top performing employee turnover rate","2","80","4.00","235","2023-09-28","admin","1716"
"238","65","3196","Employee promotions in percentage","2","80","4.00","235","2023-09-28","admin","1717"
"239","66","3197","Employees with developmental goals in percentage","2","90","4.00","235","2023-09-28","admin","1718"
"240","67","3198","Employees with goals aligned to org strategy in percentage","2","60","2.00","235","2023-09-28","admin","1719"
"241","68","3199","Does your organization leverage apprenticeship and internship programs to train and develop local talent?","2","No plans to do this","2.00","235","2023-09-28","admin","1715"
"242","69","3200","What steps does the organization take to recognise and develop high potential employees?","2","A high-potential strategy is standardized and integrated with select talent processes","2.00","235","2023-09-28","admin","1715"
"243","72","3203","Is evaluation of  employee performance done using a common, consistent set of policies & framework?","2","Consistent performance management process which is not fully automated","2.00","235","2023-09-28","admin","1720"
"244","73","3204","High performer as a percentage of total employees","2","80","4.00","235","2023-09-28","admin","1721"
"245","74","3205","Employees with on-time complete performance review in percentage","2","70","2.00","235","2023-09-28","admin","1722"
"246","75","3206","Time to full productivity of new hires in days","2","60","3.00","235","2023-09-28","admin","1723"
"247","76","3207","How much is data analytics leveraged in performance tracking?","2","Not based on data analytics","1.00","235","2023-09-28","admin","1720"
"248","77","3208","Is there continuous performance management including dynamic goals, ongoing performance conversations, periodic feedback,with a focus on coaching and development?","2","Yes - Already in place","4.00","235","2023-09-28","admin","1720"
"249","78","3209","Does the organization leverage RPA for automating some tasks in the performance management?","2","No, but considering it for future","2.00","235","2023-09-28","admin","1720"
"250","79","3210","What are the performance feedback tools used to engage talent?","2","Performance management practices are underdeveloped and usually not documented","1.00","235","2023-09-28","admin","1720"
"251","70","3201","Are employees provided tailored career paths that enable them to be self-driven in advancing their careers?","2","Career planning progresses  based on organizational needs","2.00","235","2023-09-28","admin","1720"
"252","71","3202","How does the managers evaluate employee performance?","2","Organization has established a consistent performance management process, but the process is not fully automated","2.00","235","2023-09-28","admin","1720"
"253","80","3211","How does the organization ensures that employees understand the link between their goals and the overall strategic objectives?","2","Strategic goals of the company are aligned with some individual departments but not necessarily integrated with individual goals","2.00","235","2023-09-28","admin","1724"
"254","81","3212","Are the trainings aligned to business goals of the organization?","2","Slightly aligned","2.00","235","2023-09-28","admin","1724"
"255","82","3213","How personalized is the learning management system?","2","Learning management system in place","2.00","235","2023-09-28","admin","1724"
"256","83","3214","Percentage of employees who attended e-learning training","2","80","3.00","235","2023-09-28","admin","1725"
"257","84","3215","Average time in days to close an identified skill or capability gap through training","2","90","4.00","235","2023-09-28","admin","1726"
"258","85","3216","Training hours /employee","2","70","4.00","235","2023-09-28","admin","1727"
"259","86","3217","Percentage of senior level executives undergoing training/month","2","90","4.00","235","2023-09-28","admin","1728"
"260","87","3218","Learning & development FTE / 100 employees","2","70","4.00","235","2023-09-28","admin","1729"
"261","88","3219","Development goals linked to learning activities in percentage","2","60","3.00","235","2023-09-28","admin","1730"
"262","89","3220","Is there visibility on the progress of training of employees?","2","Tracking done digitally but not in real time","2.00","235","2023-09-28","admin","1724"
"263","90","3221","Is there a feedback mechanism for the trainings done?","2","Portal to raise concern of training","2.00","235","2023-09-28","admin","1724"
"264","91","3222","Does the organization provides personalized learning to its employees that is aligned to company s needs and employee specifics?","2","Learning system manages courses that an employee can choose for his/ her development according to each job or role","2.00","235","2023-09-28","admin","1724"
"265","92","3223","Does the organization ensures that employees have the training, licensing, and certification needed to perform their job?","2","Dedicated time to running status reports of employee training, licensing, and certification; record keeping is digitalized, and HR initiates recertification requirements","2.00","235","2023-09-28","admin","1724"
"266","93","3224","Is there a formal succession-planning process in place with key internal people and skills?","2","Manual succession planning occurs annually","1.00","235","2023-09-28","admin","1731"
"267","94","3225","Succession pipeline depth","2","80","4.00","235","2023-09-28","admin","1732"
"268","95","3226","In what ways does the organization documented, fair, and equitable pay practices strategic goals and initiatives?","2","A set of compensation practices are implemented that tie pay to performance with limited visibility into pay decision criteria","2.00","235","2023-09-28","admin","1731"
"269","104","3235","HR data accuracy in percentage","2","70","4.00","235","2023-09-28","admin","1738"
"270","96","3227","How is the Employee data defined and stored using a single system?","2","Excel or payroll system used to store key information on employees, such as their address, birthday, title, or position in the organization","1.00","235","2023-09-28","admin","1733"
"271","97","3228","Is the Employee data be easily updated by authorized individuals throughout the company as needed?","2","A common HCM platform is in place for employee data, additional talent applications, and analytics processes; employee and manager self-service is in partial use","2.00","235","2023-09-28","admin","1733"
"272","114","3245","How is HR equipped to handle major organizational changes?","2","HR is focused primarily on administrative responses to organizational change and has basic workforce planning and management tools","2.00","235","2023-09-28","admin","1733"
"273","98","3229","How is the HR equipped to handle disaster recovery situations through pre-planned contingency plans, availability of employee records, being the single focal point for all communications?","2","Elements of disaster recovery are in place for ensuring business continuity; recovery planning consists of loosely sketched guidelines","2.00","235","2023-09-28","admin","1733"
"274","99","3230","What are the tools in place to enable compliance of HR processes with country-specific legal requirements?","2","There are multiple local systems across geographies and business units to manage local compliance requirements","2.00","235","2023-09-28","admin","1734"
"275","100","3231","Paycheck errors in percentage","2","70","2.00","235","2023-09-28","admin","1735"
"276","101","3232","Does the organization controls labor costs by automating manual, error-prone timekeeping and payroll processes?","2","Dedicated payroll and timekeeping FTEs to manually manage employee time and payroll data","1.00","235","2023-09-28","admin","1734"
"277","105","3236","How is the organizations data management practices?","2","Data management practices are governed through quantitative measurements of process performance","3.00","235","2023-09-28","admin","1737"
"278","106","3237","HR data completeness in percentage","2","90","3.00","235","2023-09-28","admin","1739"
"279","107","3238","Are there any written policies regarding ethical and moral use of employee data?","2","HR has created expanded policies and serves as a moderator as an ethical monitor of modern-day communication tools and data","3.00","235","2023-09-28","admin","1737"
"280","108","3239","Do the organization have all the capabilities needed to address data governance and comply with changing regulations?","2","Data governance standards are being developed but are not yet being applied consistently in a uniform manner throughout the organization","2.00","235","2023-09-28","admin","1737"
"281","109","3240","Do the organization has data retention management capabilities?","2","Process integration embedded into a single HR platform allows for fewer manual entries through self-service functionalities and data insights facilitate informed decision-making by managers when approving employee requests triggered through self-services","3.00","235","2023-09-28","admin","1737"
"282","102","3233","HR headcount cost as percentage of total HR cost","2","80","4.00","235","2023-09-28","admin","1736"
"283","103","3234","Does the organization's current payroll processes support legal requirements, currencies, and languages for different locations and countries?","2","The payroll system supports multiple currencies","2.00","235","2023-09-28","admin","1737"
"284","110","3241","HR shared services FTEs per 100 EEs","2","80","3.00","235","2023-09-28","admin","1740"
"285","111","3242","How is the processes for hiring and managing contract and external workers' cycle?","2","Partially defined contract and external worker strategy with a tactical focus on basic cost savings, efficiency, and compliance","2.00","235","2023-09-28","admin","1741"
"286","112","3243","How is the workflow approvals and everyday transactions, such as leave requests, expense approvals, pay slip requests?","2","Uses e-mail to process leave requests, expense approvals and pay slip requests","2.00","235","2023-09-28","admin","1742"
"287","113","3244","Is HR technology is synergistic with other new systems and capable of quickly integrating and scaling new innovations?","2","HR solutions are unified, mobile, and in the cloud; integrated reporting and analytics capabilities help drive and scale innovations and strategy","3.00","235","2023-09-28","admin","1743"
"288","1","777","Does the application have DDoS protection from multiple telcos / service providers and local appliance(s)?","2","Fully Met","5.00","228","2023-09-28","admin","530"
"289","2","778","Do your services have network level protection (firewall) on inbound communication only?","2","Partial Met","3.00","228","2023-09-28","admin","531"
"290","3","779","Does the application have DDoS protection from both a telco / service provider and local appliance?","2","Partial Met","3.00","228","2023-09-28","admin","532"
"291","4","780","Are your services and supporting infrastructure capable of absorbing 2x normal capacity?","2","Partial Met","3.00","228","2023-09-28","admin","533"
"292","5","781","Is your certificate renewal process fully automated?","2","Fully Met","5.00","228","2023-09-28","admin","534"
"293","6","782","Does the application have DDoS protection either a telco / service provider or from a local appliance?","2","Partial Met","3.00","228","2023-09-28","admin","535"
"294","7","783","Do your services have device or service level protection both for inbound and outbound communication?","2","Partial Met","3.00","228","2023-09-28","admin","536"
"295","8","784","Are your services and supporting infrastructure capable of absorbing 10x normal capacity?","2","Partial Met","3.00","228","2023-09-28","admin","537"
"296","9","785","Is your certificate renewal process automated with manual application (or other manual steps)?","2","Fully Met","5.00","228","2023-09-28","admin","538"
"297","10","786","Can the services and supporting infrastructure absorb attack traffic by auto-scaling, with no impact to service availability?","2","Partial Met","3.00","228","2023-09-28","admin","539"
"298","11","787","In addition to multi-level DDoS protection, can supporting infrastructure withstand DDoS load by automatically scaling?","2","Partial Met","3.00","228","2023-09-28","admin","530"
"299","12","788","Do your services have network level protection (firewall) on inbound and outbound communication?","2","Not Met","1.00","228","2023-09-28","admin","531"
"300","13","789","Is your certificate renewal process fully automated and the issuing CA / PKI service higly available?","2","Partial Met","3.00","228","2023-09-28","admin","532"
"301","14","790","Do your services have device or service level protection for inbound and network level protection for outbound communication?","2","Partial Met","3.00","228","2023-09-28","admin","533"
"302","15","791","Is your certificate renewal process manual with owners alerted before expiration ?","2","Partial Met","3.00","228","2023-09-28","admin","534"
"303","16","792","Are your services and supporting infrastructure capable of absorbing 5x normal capacity?","2","Partial Met","3.00","228","2023-09-28","admin","535"
"304","59","835","Is real-time data synchronisation in place to a repository on another independent data store platform, for example in a different datacentre or cloud availability zone or region?","2","Partial Met","3.00","228","2023-09-28","admin","542"
"305","60","836","Are automated tests with immediate downstream systems in place, validating that successful processing is possible?","2","Fully Met","5.00","228","2023-09-28","admin","543"
"306","61","837","Do you utilise process orchestration frameworks for up/downstream signalling and verification of successful  processing?","2","Partial Met","3.00","228","2023-09-28","admin","544"
"307","62","838","Will ingestion automatically recover and reprocess in case of failures?","2","Partial Met","3.00","228","2023-09-28","admin","545"
"308","17","793","Does a signed and monitored Contract (SLA) exist with the data owner, describing data quality, timeliness and error procedures?","2","Partial Met","3.00","228","2023-09-28","admin","540"
"309","18","794","Have your data transformation processes been documented and include source-target mappings to enable analysing data flows?","2","Not Met","1.00","228","2023-09-28","admin","541"
"310","19","795","Have data ingerity checks been implemented as part of data processing - for example that the number of output records matches source data, and that source and output data are consistent?","2","Partial Met","3.00","228","2023-09-28","admin","542"
"311","20","796","Does the data store have user activity logging and monitoring capability for any data access of updates performed by users?","2","Partial Met","3.00","228","2023-09-28","admin","543"
"312","21","797","Are access and views to data controlled by contextual, fine-grained entitlement logic dynamically based on security, location, role etc.?","2","Fully Met","5.00","228","2023-09-28","admin","544"
"313","22","798","Do you employ regular data quality checks throughout the chain of processing, ensuring it does not become corrupted?","2","Fully Met","5.00","228","2023-09-28","admin","545"
"314","23","799","Is automated process in place for detecting and rolling back unexpected data deletion?","2","Fully Met","5.00","228","2023-09-28","admin","546"
"315","24","800","Have exit strategies been explored for data migration scenarios to another platform?","2","Partial Met","3.00","228","2023-09-28","admin","547"
"316","25","801","Have procedures been implemented to ensure a test plan is in place as part of the software development for data transformation workloads?","2","Partial Met","3.00","228","2023-09-28","admin","548"
"317","26","802","Are toll-gate checks in place prior to manual data deletion - for example that backups exist and any active processing has completed, only validated deletion code is used etc.?","2","Fully Met","5.00","228","2023-09-28","admin","549"
"318","27","803","Do automated tests include immediate systems consuming the data, confirming successful downstream processing?","2","Partial Met","3.00","228","2023-09-28","admin","540"
"319","28","804","Do you utilise process orchestration frameworks for signalling and verification of successful upstream processing?","2","Partial Met","3.00","228","2023-09-28","admin","541"
"320","29","805","Will the ingestion process automatically recover and re-run in case of failures?","2","Partial Met","3.00","228","2023-09-28","admin","542"
"321","30","806","Is regular data synchronisation to a repository on another vendor platform in place?","2","Partial Met","3.00","228","2023-09-28","admin","543"
"322","31","807","Are automatic event notifications in place for when source system data is unavailable, enabling action to be taken?","2","Partial Met","3.00","228","2023-09-28","admin","544"
"323","32","808","Do you have basic, automated source data consistency checks in place covering field completeness, format etc?","2","Fully Met","5.00","228","2023-09-28","admin","545"
"324","33","809","Is real-time data synchronisation to a repository on another vendor platform in place?","2","Fully Met","5.00","228","2023-09-28","admin","546"
"325","34","810","Is ingestion process continuously monitored for failures?","2","Partial Met","3.00","228","2023-09-28","admin","547"
"326","35","811","Does your application deliver structured data lineage information, mapped to HSBC Business Information Model (HBIM)?","2","Partial Met","3.00","228","2023-09-28","admin","548"
"327","36","812","Do data processing routines implement  internal data integrity checks to identify corrupted data, before processing?","2","Fully Met","5.00","228","2023-09-28","admin","549"
"328","37","813","Are data objects versioned and is it possible to roll back to previous version(s)?","2","Partial Met","3.00","228","2023-09-28","admin","540"
"329","38","814","Do you perform continuous integration tests to ensure data processing capability, as part of software development?","2","Partial Met","3.00","228","2023-09-28","admin","541"
"330","39","815","Have auto-healing routines such as creation of missing reference data been implemented?","2","Partial Met","3.00","228","2023-09-28","admin","542"
"331","40","816","Is the ability to restore backup data regularly tested, on an alternative platform?","2","Partial Met","3.00","228","2023-09-28","admin","543"
"332","41","817","Have your data processing routines been documented and include source-target mappings to enable analysing data flows?","2","Partial Met","3.00","228","2023-09-28","admin","544"
"333","42","818","Are access rights to data being regularly reviewed?","2","Partial Met","3.00","228","2023-09-28","admin","545"
"334","43","819","Is any regular data synchronisation in place to a repository on another independent data store platform, for example in a different datacentre or cloud availability zone or region?Please select this also in case you have selected the real-time synchronisation option at Gold.","2","Partial Met","3.00","228","2023-09-28","admin","546"
"335","44","820","Have procedures been implemented to ensure a test plan is in place as part of the software development for data processing workloads?","2","Fully Met","5.00","228","2023-09-28","admin","547"
"336","45","821","Is source data validated and quality checked, to ensure that data is present, compliant and in the right format?","2","Fully Met","5.00","228","2023-09-28","admin","548"
"337","46","822","Is automated orchestration in place allowing a set of processes to re-run automatically from a point in time, for example after a failure, interruption or other error condition.","2","Partial Met","3.00","228","2023-09-28","admin","549"
"338","47","823","Does a signed and monitored Contract (SLA) exist between the data owner and consumer, describing quality, timeliness and error procedures?","2","Partial Met","3.00","228","2023-09-28","admin","540"
"339","48","824","Is a fully automated procedure in place to reprocess/resend the data, in case of an incompatibility, process failure or any other error condition?","2","Partial Met","3.00","228","2023-09-28","admin","541"
"340","49","825","Are documented, step-by-step support procedures for data maintenance available for support teams?","2","Fully Met","5.00","228","2023-09-28","admin","542"
"341","50","826","Do you perform continuous integration tests to validate successful data processing capability, as part of development?","2","Partial Met","3.00","228","2023-09-28","admin","543"
"342","51","827","Are toll-gate checks in place prior to manual data deletion - for example that backups exist and any active processing has completed, that only validated deletion code is used, etc.?","2","Fully Met","5.00","228","2023-09-28","admin","544"
"343","52","828","Are automatic event notifications in place for when source system data is unavailable based on monitoring, enabling action to be taken?","2","Fully Met","5.00","228","2023-09-28","admin","545"
"344","53","829","Is ingestion process continuously monitored for failures?","2","Partial Met","3.00","228","2023-09-28","admin","546"
"345","54","830","Is it possible to track, log and monitor user activity around data access or data updates?","2","Partial Met","3.00","228","2023-09-28","admin","547"
"346","55","831","Do data processing routines implement basic internal data consistency checks covering field completeness, format etc.?","2","Partial Met","3.00","228","2023-09-28","admin","548"
"347","56","832","Is any procedure in place to reprocess/resend the data, in case of an incompatibility, process failure or any other error condition? Please select this also in case you have selected the fully automated procedure option at Platinum.","2","Fully Met","5.00","228","2023-09-28","admin","549"
"348","57","833","Do data processing routines implement consistency source data integrity checks, before processing?","2","Fully Met","5.00","228","2023-09-28","admin","540"
"349","58","834","Is the ability to restore backup data regularly tested on another independent data store platform, for example in a different datacentre or cloud availability zone or region?","2","Partial Met","3.00","228","2023-09-28","admin","541"
"350","63","839","Is code build pipeline-driven and automated, with manual code reviews and scanning?","2","Fully Met","5.00","228","2023-09-28","admin","550"
"351","64","840","Have performance and capacity tests been used to determine production sizing?","2","Partial Met","3.00","228","2023-09-28","admin","551"
"352","65","841","Does the application follow API and microservices based, stateless design and adhere to HSBC's AIMS-FAST principles, standards and patterns?","2","Fully Met","5.00","228","2023-09-28","admin","552"
"353","66","842","Do you use zero downtime deployment strategy such as Blue/Green releases, supporting gradual cut-over and immediate rollback?","2","Fully Met","5.00","228","2023-09-28","admin","553"
"354","67","843","Is automatic retry pattern used for failed transactions?","2","Partial Met","3.00","228","2023-09-28","admin","554"
"355","68","844","Do you use retry and fallback patterns to handle transient failures in connecting to services and resources?","2","Partial Met","3.00","228","2023-09-28","admin","555"
"356","69","845","Are automated CI/CD/CT pipelines populating release dashboards for QA and production releases with pre-agreed metrics?","2","Partial Met","3.00","228","2023-09-28","admin","556"
"357","70","846","Is the entire application stack implemented using declarative IaC tooling and can be repeatably and consistently (re)deployed?","2","Partial Met","3.00","228","2023-09-28","admin","557"
"358","71","847","Do you use pre-defined breakpoints in transaction processing to allow resuming failed transactions without impacting data?","2","Partial Met","3.00","228","2023-09-28","admin","558"
"359","72","848","Are nonfunctional or performance testing environments sized to production capacity?","2","Fully Met","5.00","228","2023-09-28","admin","559"
"360","73","849","Do your CI/CD/CT pipelines have a defined gating criteria including tests and approvals?","2","Fully Met","5.00","228","2023-09-28","admin","550"
"361","74","850","Is code review and automated scanning in place (binary or code level)?","2","Partial Met","3.00","228","2023-09-28","admin","551"
"362","75","851","Has code deployment been automated end-to-end (one-click deployments)?","2","Partial Met","3.00","228","2023-09-28","admin","552"
"363","76","852","Are timeouts being used to limit the duration of remote service calls vs waiting indefinitely?","2","Fully Met","5.00","228","2023-09-28","admin","553"
"364","77","853","Is automated code review in place, covering coding standards, vulnerabilities, etc.?","2","Partial Met","3.00","228","2023-09-28","admin","554"
"365","78","854","Are performance and load tests being performed to understand the maximum request rate/throughput?","2","Partial Met","3.00","228","2023-09-28","admin","555"
"366","79","855","Have tests in the SDLC been automated (unit, integration, functional, penetration, performance etc.) and are they regularly performed?","2","Partial Met","3.00","228","2023-09-28","admin","556"
"367","80","856","Do you use bulkhead pattern for isolating application components, allowing execution to continue when a single component fails?","2","Fully Met","5.00","228","2023-09-28","admin","557"
"368","81","857","Do you use the circuit breaker pattern to handle faults related to unavailable remote system/service?","2","Partial Met","3.00","228","2023-09-28","admin","558"
"369","82","858","Has automated testing with rollback on failure been implemented, as part of the automated CI/CD/CT pipeline?","2","Partial Met","3.00","228","2023-09-28","admin","559"
"370","83","859","Is it possible to release new code into production on-demand at any time, without disrupting existing workloads and transactions?","2","Partial Met","3.00","228","2023-09-28","admin","550"
"371","84","860","Do all components of the application adhere to Application Architecture Principles and use Application Architecture approved Patterns, including asynchronous communication and BIAN service componentisation?","2","Fully Met","5.00","228","2023-09-28","admin","551"
"372","85","861","Is the application fully broken down into components that separate all BIAN service domains from one another?","2","Fully Met","5.00","228","2023-09-28","admin","552"
"373","86","862","Are Performance Tests run continually as part of automated CI/CD/CT pipelines?","2","Partial Met","3.00","228","2023-09-28","admin","553"
"374","87","863","Is Chaos Testing employed in Production Environments to simulate and identify failures?","2","Partial Met","3.00","228","2023-09-28","admin","554"
"375","88","864","Is there a Test Environment for this IT Service that is aliugned with production software and infrastructure configurations?","2","Partial Met","3.00","228","2023-09-28","admin","555"
"376","89","865","Is the application constructed of components that segregate BIAN service domains from one another?","2","Partial Met","3.00","228","2023-09-28","admin","556"
"377","90","866","Is performance testing completed to identify both performance baselines and limits where performance begins to degrade?","2","Fully Met","5.00","228","2023-09-28","admin","557"
"378","91","867","Is there a Test Environment for this IT Service that is of identical size to production, and is aligned with production software and infrastructure configurations?","2","Fully Met","5.00","228","2023-09-28","admin","558"
"379","92","868","Do all components of the application communicate in an asynchronous way, such that independent component failure does not cause failure of dependent processes (e.g a microservices or EDA architecture)","2","Partial Met","3.00","228","2023-09-28","admin","559"
"380","93","869","Are performance tests completed throughout development?","2","Fully Met","5.00","228","2023-09-28","admin","550"
"381","94","870","Is performance testing completed to identify performance baselines?","2","Partial Met","3.00","228","2023-09-28","admin","551"
"382","95","871","Is automated testing completed in Production Environments as part of a CI/CD/CT pipeline?","2","Partial Met","3.00","228","2023-09-28","admin","552"
"383","96","872","Is the primary site implementation running Hot/Hot across separate infrastructure platforms?","2","Not Met","1.00","228","2023-09-28","admin","560"
"384","97","873","Is the failover process within the primary site being regularly tested?","2","Partial Met","3.00","228","2023-09-28","admin","561"
"385","98","874","Is the DR failover process automated, causing a brief outage or interruption during cut-over?","2","Partial Met","3.00","228","2023-09-28","admin","562"
"386","99","875","Is the platform being regularly tested to ascertain availability after component failure and/or failover?","2","Partial Met","3.00","228","2023-09-28","admin","563"
"387","100","876","Will the platform remain available in the face of multiple infrastructure or hardware component failures?","2","Partial Met","3.00","228","2023-09-28","admin","564"
"388","101","877","Is the DR failover process manual, requiring up to multiple hours of downtime?","2","Partial Met","3.00","228","2023-09-28","admin","565"
"389","102","878","Is the internal failover configuration of redundant components manual?","2","Partial Met","3.00","228","2023-09-28","admin","566"
"390","103","879","Is the implementation running Hot/Hot across multiple sites on the same infra platform?","2","Partial Met","3.00","228","2023-09-28","admin","567"
"391","104","880","Is the primary site implementation running Hot/Hot across separate infrastructure?","2","Partial Met","3.00","228","2023-09-28","admin","568"
"392","105","881","Can the primary site implementation automatically fail over to a different set of local infrastructure?","2","Fully Met","5.00","228","2023-09-28","admin","569"
"393","106","882","Is the DR failover process being regularly tested?","2","Partial Met","3.00","228","2023-09-28","admin","560"
"394","107","883","Is the internal failover configuration of redundant components automatic?","2","Partial Met","3.00","228","2023-09-28","admin","561"
"395","108","884","Is the implementation running Hot/Hot across multiple different infra platforms or vendors (cloud, on-prem.)?","2","Partial Met","3.00","228","2023-09-28","admin","562"
"396","109","885","Is the failover process within the primary site a manual process?","2","Partial Met","3.00","228","2023-09-28","admin","563"
"397","110","886","Does the platform utilise multiple redundant components in Hot/Hot fashion, to maintain availability?","2","Partial Met","3.00","228","2023-09-28","admin","564"
"398","111","887","Is the application or service hosted in a Group Data Centre (Tier 0)","2","Partial Met","3.00","228","2023-09-28","admin","565"
"399","112","888","Is the application or service provided in a Highly Restricted Country and hosted on RDC, CDC, LDC, SaaS and non strategic CSP location?","2","Partial Met","3.00","228","2023-09-28","admin","570"
"400","113","889","Is the application or service hosted in a Group Data Centre (Tier 0)?","2","Partial Met","3.00","228","2023-09-28","admin","571"
"401","114","890","Is the application or service hosted in a Critical Data Centre (Tier 1)?","2","Fully Met","5.00","228","2023-09-28","admin","572"
"402","115","891","Is the application or service hosted in a Local Data Centre (Tier 2)?","2","Partial Met","3.00","228","2023-09-28","admin","573"
"403","116","892","Is the application or service hosted on Strategic Cloud Service Provider platform?","2","Fully Met","5.00","228","2023-09-28","admin","574"
"404","117","893","Is the application or service hosted in a Regional Data Centre (Tier 0)?","2","Partial Met","3.00","228","2023-09-28","admin","575"
"405","118","894","Is the application or service hosted on IKP or ICP service platform in Group Data Centre (Tier 0)?","2","Partial Met","3.00","228","2023-09-28","admin","576"
"406","123","899","Is your service or application deployed locally following the following Live / Live availability pattern?","2","Fully Met","5.00","228","2023-09-28","admin","581"
"407","124","900","Do your backups support fast partial restore or reverting to a snapshot?","2","Partial Met","3.00","228","2023-09-28","admin","582"
"408","125","901","Is the failover to a local standby instance fully automated or can the whole environment be redeployed automatically?","2","Fully Met","5.00","228","2023-09-28","admin","583"
"409","126","902","Is capacity planning in place for some or key components of the service?","2","Fully Met","5.00","228","2023-09-28","admin","584"
"410","127","903","Are your workloads dynamically portable across different sites?","2","Partial Met","3.00","228","2023-09-28","admin","585"
"411","128","904","Is your DR process a manual workflow comprising of scripted or manual actions?","2","Fully Met","5.00","228","2023-09-28","admin","586"
"412","129","905","Are backups regularly tested to validate recoverability?","2","Not Met","1.00","228","2023-09-28","admin","577"
"413","130","906","Does your service have a local cold-standby instance?","2","Partial Met","3.00","228","2023-09-28","admin","578"
"414","131","907","Is your DR solution and process an automated workflow, with optional manual inputs to control execution stages?","2","Fully Met","5.00","228","2023-09-28","admin","579"
"415","132","908","Can environments and service components be automatically scaled in response to increased load?","2","Fully Met","5.00","228","2023-09-28","admin","580"
"416","133","909","Are your workloads dynamically portable across independent local infrastructure?","2","Partial Met","3.00","228","2023-09-28","admin","581"
"417","134","910","Do your backups support point-in-time recovery?","2","Partial Met","3.00","228","2023-09-28","admin","582"
"418","135","911","Are daily backups taking place, and do they have alerting in place for backup failures?","2","Not Met","1.00","228","2023-09-28","admin","583"
"419","136","912","Are complete backups regularly tested to validate recoverability against RPO and RTO?","2","Fully Met","5.00","228","2023-09-28","admin","584"
"420","137","913","Is there a documented Data Retention/Life Cycle/Archival Strategy for this IT Service that is aligned with Backup and Recovery plans?","2","Partial Met","3.00","228","2023-09-28","admin","585"
"421","119","895","Is your DR solution implemented as Live / Live, with an active DR service instance?","2","Fully Met","5.00","228","2023-09-28","admin","577"
"422","120","896","Is service level capacity planning process in place covering all components?","2","Partial Met","3.00","228","2023-09-28","admin","578"
"423","121","897","Are daily backups taking place?","2","Partial Met","3.00","228","2023-09-28","admin","579"
"424","122","898","Have predictive capacity monitoring and proactive response triggers been implemented?","2","Partial Met","3.00","228","2023-09-28","admin","580"
"425","138","914","Can technical components be automatically discovered and linked to an IT service?","2","Not Applicable","0.00","228","2023-09-28","admin","587"
"426","139","915","Can the application stack be automatically started and stopped in the correct component sequence, without manual intervention?","2","Fully Met","5.00","228","2023-09-28","admin","588"
"427","140","916","Is automated testing and gating in place as part of the release process and pipeline?","2","Fully Met","5.00","228","2023-09-28","admin","589"
"428","141","917","Are proactive problem management practices in place including lessonas learnt from major incident reviews?","2","Fully Met","5.00","228","2023-09-28","admin","590"
"429","142","918","Have resiliency and availability objectives been set and documented in SLAs/SLOs?","2","Fully Met","5.00","228","2023-09-28","admin","591"
"430","143","919","Have resiliency and availability objectives been set, documented and communicated?","2","Not Applicable","0.00","228","2023-09-28","admin","592"
"431","146","922","Are regular local and DR failover tests being performed for all service components?","2","Partial Met","3.00","228","2023-09-28","admin","595"
"432","147","923","Is proactive monitoring in place to enable warning notifications and action before failures occur?","2","Not Applicable","0.00","228","2023-09-28","admin","596"
"433","148","924","Are architects included in incident reviews?","2","Not Applicable","0.00","228","2023-09-28","admin","587"
"434","149","925","Can capacity be automatically increased or auto-scaled, based on telemetry feedback?","2","Not Applicable","0.00","228","2023-09-28","admin","588"
"435","150","926","Is source code being stored and managed in version and access-controlled repositories?","2","Not Applicable","0.00","228","2023-09-28","admin","589"
"436","151","927","Can all service components be automatically (re)deployed, without operator intervention?","2","Not Applicable","0.00","228","2023-09-28","admin","590"
"437","152","928","Are error budgets (relating to SLA thresholds) utilised to inform release prioritisation?","2","Fully Met","5.00","228","2023-09-28","admin","591"
"438","153","929","Do you hold a register of risks to availability/resilience for this IT Service?","2","Partial Met","3.00","228","2023-09-28","admin","592"
"439","155","931","Is automatic notification and escalation process in place for service impacting events?","2","Partial Met","3.00","228","2023-09-28","admin","598"
"440","156","932","Is logging being performed to capture the state and events of the infrastructure underpinning the application?","2","Fully Met","5.00","228","2023-09-28","admin","599"
"441","157","933","Have automated recovery processes been implemented based on feedback from monitoring and telemetry data?","2","Partial Met","3.00","228","2023-09-28","admin","600"
"442","158","934","Has service level situational awareness been established in  monitoring to understand 'normal' and peak loads that individual components can handle?","2","Partial Met","3.00","228","2023-09-28","admin","601"
"443","159","935","Is logging being performed to capture the state and events of the application?","2","Fully Met","5.00","228","2023-09-28","admin","602"
